;sexe;prenom;dpt;nombre
0;1;LUCAS;64;1430
1;1;HUGO;64;1210
2;1;THEO;64;1100
3;1;THOMAS;64;1089
4;1;ENZO;64;1073
5;1;LEO;64;1064
6;1;LOUIS;64;1061
7;1;BAPTISTE;64;1050
8;1;PAUL;64;1023
9;1;JULES;64;951
10;1;RAPHAEL;64;907
11;1;GABRIEL;64;901
12;1;MATHIS;64;877
13;1;MAXIME;64;871
14;1;CLEMENT;64;864
15;1;NATHAN;64;862
16;1;TOM;64;796
17;1;IBAN;64;790
18;1;ARTHUR;64;766
19;1;OIHAN;64;688
20;1;MAEL;64;636
21;1;ALEXANDRE;64;599
22;1;ANTOINE;64;599
23;1;ETHAN;64;577
24;1;NOAH;64;561
25;1;MARTIN;64;558
26;1;ENEKO;64;543
27;1;ESTEBAN;64;530
28;1;SACHA;64;515
29;1;QUENTIN;64;507
30;1;PIERRE;64;505
31;1;XAN;64;504
32;1;ALEXIS;64;487
33;1;AXEL;64;471
34;1;NICOLAS;64;470
35;1;BASTIEN;64;468
36;1;ROMAIN;64;468
37;1;VALENTIN;64;463
38;1;MATHEO;64;441
39;1;SIMON;64;429
40;1;YANIS;64;426
41;1;DIEGO;64;422
42;1;JULEN;64;419
43;1;PABLO;64;415
44;1;TIMEO;64;415
45;1;BENJAMIN;64;410
46;1;ANTTON;64;410
47;1;GABIN;64;404
48;1;SAMUEL;64;402
49;1;NOLAN;64;391
50;1;MATHIEU;64;388
51;1;JULIEN;64;379
52;1;NOE;64;379
53;1;TIAGO;64;371
54;1;MATTEO;64;364
55;1;VICTOR;64;357
56;1;LIAM;64;353
57;1;JEAN;64;346
58;1;NOA;64;345
59;1;MATEO;64;334
60;1;ROBIN;64;334
61;1;ANDONI;64;330
62;1;TITOUAN;64;329
63;1;ADRIEN;64;324
64;1;JON;64;323
65;1;UNAI;64;321
66;1;MATTIN;64;318
67;1;ADAM;64;317
68;1;FLORIAN;64;309
69;1;EVAN;64;290
70;1;MAXENCE;64;284
71;1;THIBAULT;64;270
72;1;RAFAEL;64;268
73;1;MATHYS;64;262
74;1;MATHIAS;64;260
75;1;DORIAN;64;256
76;1;VINCENT;64;250
77;1;KYLIAN;64;250
78;1;REMI;64;249
79;1;LEON;64;247
80;1;XABI;64;240
81;1;ANTHONY;64;235
82;1;DYLAN;64;234
83;1;KEVIN;64;233
84;1;BIXENTE;64;230
85;1;NINO;64;230
86;1;PATXI;64;212
87;1;MARIUS;64;211
88;1;DAMIEN;64;208
89;1;AARON;64;208
90;1;ELIOTT;64;201
91;1;PEIO;64;199
92;1;IMANOL;64;198
93;1;LUKA;64;196
94;1;DAVID;64;192
95;1;TRISTAN;64;191
96;1;GASPARD;64;189
97;1;LILIAN;64;189
98;1;MILO;64;188
99;1;LENNY;64;181
100;1;CORENTIN;64;180
101;1;RUBEN;64;177
102;1;MIKEL;64;177
103;1;GUILLAUME;64;176
104;1;RAYAN;64;174
105;1;ILAN;64;172
106;1;LOUKA;64;164
107;1;YANN;64;163
108;1;LORENZO;64;151
109;1;YOHAN;64;151
110;1;LOIC;64;149
111;1;CHARLES;64;148
112;1;JEREMY;64;145
113;1;ANTONIN;64;141
114;1;MATTHIEU;64;141
115;1;WILLIAM;64;141
116;1;CAMILLE;64;137
117;1;ARNAUD;64;136
118;1;LUKAS;64;136
119;1;THIBAUT;64;134
120;1;YOAN;64;131
121;1;OSCAR;64;131
122;1;CHARLIE;64;128
123;1;ALBAN;64;128
124;1;LUKEN;64;127
125;1;JOHAN;64;127
126;1;CHARLY;64;124
127;1;GAEL;64;123
128;1;NAEL;64;123
129;1;EDEN;64;123
130;1;AUGUSTIN;64;123
131;1;ELLANDE;64;122
132;1;KILLIAN;64;118
133;1;KEPA;64;118
134;1;TXOMIN;64;117
135;1;MAHE;64;116
136;1;JULIAN;64;115
137;1;SOAN;64;115
138;1;GAETAN;64;114
139;1;JORDAN;64;114
140;1;TIMOTHE;64;114
141;1;PACO;64;114
142;1;LOAN;64;113
143;1;JOAN;64;110
144;1;KENZO;64;110
145;1;INAKI;64;108
146;1;ALEX;64;108
147;1;TIMOTHEE;64;108
148;1;TEO;64;108
149;1;ELIOT;64;100
150;1;BENOIT;64;98
151;1;JOSEPH;64;97
152;1;LEANDRO;64;97
153;1;MEHDI;64;93
154;1;AURELIEN;64;93
155;1;YON;64;93
156;1;SASHA;64;92
157;1;JOKIN;64;90
158;1;ISAAC;64;89
159;1;ILLAN;64;89
160;1;ERWAN;64;89
161;1;SEBASTIEN;64;89
162;1;MILAN;64;88
163;1;LUCA;64;86
164;1;JONATHAN;64;86
165;1;FLORENT;64;86
166;1;NOAM;64;85
167;1;REMY;64;85
168;1;MALO;64;84
169;1;TAO;64;84
170;1;JUSTIN;64;83
171;1;NOLHAN;64;83
172;1;FELIX;64;83
173;1;OWEN;64;83
174;1;MATIS;64;83
175;1;AMAURY;64;83
176;1;MICKAEL;64;82
177;1;LUCIEN;64;80
178;1;JEAN-BAPTISTE;64;79
179;1;YOANN;64;77
180;1;GAUTHIER;64;76
181;1;LYAM;64;76
182;1;ALLANDE;64;75
183;1;EMILE;64;75
184;1;IBAI;64;74
185;1;SOHAN;64;73
186;1;XIMUN;64;72
187;1;TONY;64;72
188;1;ELIAS;64;71
189;1;MOHAMED;64;71
190;1;FABIEN;64;69
191;1;UGO;64;69
192;1;KILIAN;64;68
193;1;JORIS;64;68
194;1;GORKA;64;68
195;1;ROMEO;64;68
196;1;NATHANAEL;64;67
197;1;MAX;64;67
198;1;DIMITRI;64;66
199;1;BRYAN;64;66
200;1;AITOR;64;66
201;1;PAOLO;64;65
202;1;RYAN;64;64
203;1;MATTHIAS;64;63
204;1;GABI;64;63
205;1;GUILHEM;64;63
206;1;LOHAN;64;62
207;1;LORIS;64;61
208;1;ILYES;64;60
209;1;KAIS;64;60
210;1;BASILE;64;59
211;1;MAE;64;59
212;1;SOFIANE;64;59
213;1;LOGAN;64;58
214;1;LENY;64;58
215;1;AYDEN;64;58
216;1;ETIENNE;64;58
217;1;ACHILLE;64;57
218;1;SYLVAIN;64;56
219;1;ELLIOT;64;56
220;1;EWEN;64;54
221;1;ULYSSE;64;54
222;1;ANTON;64;54
223;1;THIBAUD;64;53
224;1;ANGEL;64;53
225;1;THIAGO;64;52
226;1;GREGOIRE;64;52
227;1;AMIR;64;51
228;1;AUGUSTE;64;51
229;1;CYRIL;64;51
230;1;SAM;64;50
231;1;XALBAT;64;49
232;1;SAMY;64;49
233;1;JASON;64;48
234;1;XAVIER;64;48
235;1;YAN;64;47
236;1;MARC;64;47
237;1;MARCEL;64;46
238;1;ELIO;64;46
239;1;MORGAN;64;46
240;1;YANNIS;64;45
241;1;ARMAND;64;45
242;1;NASSIM;64;44
243;1;LINO;64;44
244;1;IKER;64;44
245;1;NAIM;64;43
246;1;JOSHUA;64;43
247;1;SWANN;64;43
248;1;GEXAN;64;41
249;1;MARLEY;64;40
250;1;AMINE;64;40
251;1;EKAITZ;64;40
252;1;MARIN;64;39
253;1;BRICE;64;39
254;1;ALAN;64;39
255;1;MALONE;64;38
256;1;AYMERIC;64;38
257;1;CEDRIC;64;37
258;1;LEANDRE;64;37
259;1;FRANCOIS;64;36
260;1;EZIO;64;36
261;1;LUDOVIC;64;36
262;1;KYLLIAN;64;36
263;1;ADRIAN;64;36
264;1;MARCUS;64;36
265;1;GASTON;64;35
266;1;ALI;64;35
267;1;EDOUARD;64;35
268;1;BILAL;64;35
269;1;COME;64;35
270;1;ELIE;64;34
271;1;TIM;64;34
272;1;ARSENE;64;34
273;1;CESAR;64;34
274;1;ANDDE;64;33
275;1;SANDRO;64;33
276;1;HENRI;64;32
277;1;TANGUY;64;32
278;1;FABIO;64;31
279;1;NOHAM;64;31
280;1;AYOUB;64;31
281;1;DANIEL;64;31
282;1;STEVEN;64;30
283;1;MARCEAU;64;30
284;1;MARCO;64;30
285;1;ENOHA;64;30
286;1;ANGELO;64;30
287;1;LOIS;64;29
288;1;AMAIUR;64;29
289;1;SWAN;64;29
290;1;EVANN;64;29
291;1;NILS;64;29
292;1;ANDREA;64;29
293;1;LEOPOLD;64;28
294;1;ENAUT;64;28
295;1;ISMAEL;64;28
296;1;YASSINE;64;28
297;1;NEO;64;28
298;1;LUC;64;28
299;1;ARITZ;64;27
300;1;EMMANUEL;64;27
301;1;LEONARD;64;27
302;1;SAMI;64;25
303;1;GILEN;64;25
304;1;ALLAN;64;25
305;1;NOLANN;64;25
306;1;MAYRON;64;25
307;1;IBRAHIM;64;25
308;1;AMETS;64;25
309;1;OLIVIER;64;25
310;1;WASSIM;64;24
311;1;ELOUAN;64;24
312;1;IMRAN;64;24
313;1;LOU;64;24
314;1;MELVIN;64;24
315;1;YOUNES;64;24
316;1;ROMAN;64;23
317;1;SANTIAGO;64;23
318;1;TYMEO;64;23
319;1;ILIAN;64;23
320;1;CHRISTOPHE;64;23
321;1;HAYDEN;64;23
322;1;MATIAS;64;22
323;1;YLAN;64;22
324;1;LUIS;64;22
325;1;HODEI;64;22
326;1;GUSTAVE;64;22
327;1;MANOA;64;21
328;1;HECTOR;64;21
329;1;YOHANN;64;21
330;1;GAUTIER;64;21
331;1;SOREN;64;21
332;1;PEYO;64;21
333;1;BRUNO;64;20
334;1;ERIC;64;20
335;1;NOAN;64;20
336;1;SOLAL;64;20
337;1;ILYAN;64;20
338;1;MIGUEL;64;20
339;1;WALID;64;20
340;1;ENAITZ;64;20
341;1;ANAS;64;19
342;1;JEREMIE;64;19
343;1;ABEL;64;19
344;1;YANNICK;64;19
345;1;ISSA;64;19
346;1;ODEI;64;18
347;1;ALOIS;64;18
348;1;JAMES;64;18
349;1;ANATOLE;64;17
350;1;MATYS;64;17
351;1;BENAT;64;17
352;1;LOUCAS;64;17
353;1;JONAS;64;17
354;1;LIVIO;64;17
355;1;AYMEN;64;16
356;1;HAMZA;64;16
357;1;LOUP;64;16
358;1;LOUKAS;64;16
359;1;KAYDEN;64;16
360;1;AUBIN;64;15
361;1;EDGAR;64;15
362;1;OCTAVE;64;15
363;1;EMILIEN;64;15
364;1;MARVIN;64;15
365;1;GREGORY;64;15
366;1;RONAN;64;15
