;prenom;nombre
0;EMMA;1466
1;LEA;1166
2;MANON;1158
3;CHLOE;1107
4;INES;958
5;JADE;891
6;LOLA;850
7;CAMILLE;840
8;SARAH;721
9;LOUISE;704
10;CLARA;692
11;LUCIE;684
12;ZOE;660
13;ANAIS;649
14;ELAIA;647
15;JULIETTE;611
16;LENA;600
17;EVA;587
18;LOU;583
19;ALICE;572
20;CHARLOTTE;572
21;MARIE;567
22;LILOU;561
23;ROMANE;560
24;JULIE;542
25;LISA;539
26;MATHILDE;537
27;JEANNE;528
28;MILA;515
29;OCEANE;509
30;ANNA;489
31;LAURA;465
32;PAULINE;463
33;AMAIA;457
34;NINA;457
35;LUNA;439
36;JULIA;425
37;MARGAUX;424
38;OIHANA;412
39;NAHIA;409
40;AMBRE;404
41;ELENA;396
42;CLEMENCE;393
43;AGATHE;373
44;MAEVA;361
45;EMILIE;343
46;ENEA;339
47;MARGOT;339
48;ANA;335
49;JUSTINE;334
50;NOEMIE;332
51;NAIA;325
52;CELIA;309
53;ALICIA;304
54;ELISA;298
55;LOUNA;294
56;ELSA;288
57;ELISE;286
58;LINA;282
59;ROSE;264
60;LILY;261
61;MORGANE;246
62;LEONIE;234
63;CARLA;229
64;LISE;226
65;OLIVIA;220
66;ELEA;217
67;LOUANE;214
68;MARINE;214
69;ELORRI;210
70;MAIA;208
71;MIA;208
72;VICTORIA;204
73;MELISSA;204
74;LANA;198
75;MAIANA;192
76;LILI;189
77;ELOISE;187
78;MAELLE;186
79;MARION;185
80;VALENTINE;184
81;SOFIA;179
82;AMANDINE;179
83;IDOIA;178
84;FANNY;177
85;MAYLIS;176
86;MAELYS;175
87;CHARLINE;171
88;CHARLIE;169
89;ANDREA;167
90;LOREA;166
91;ALIX;166
92;NORA;163
93;IRIS;163
94;INAYA;160
95;ALAIA;158
96;ALEXIA;156
97;CANDICE;155
98;HELOISE;155
99;CAPUCINE;154
100;GABRIELLE;152
101;ADELE;152
102;AINHOA;152
103;AMELIE;150
104;MAIKA;149
105;ROMY;149
106;SALOME;148
107;LEANA;148
108;SARA;147
109;ROXANE;147
110;ALBA;147
111;CLAIRE;140
112;LILA;137
113;HAIZE;136
114;ENORA;133
115;JOANA;132
116;ILONA;131
117;AMAYA;131
118;THAIS;129
119;ANAE;128
120;AUDREY;127
121;VICTOIRE;127
122;CLOE;126
123;AXELLE;126
124;ELODIE;126
125;FAUSTINE;125
126;MAILYS;124
127;EMY;122
128;NINON;121
129;LEIRE;119
130;ZELIE;117
131;XANA;117
132;UHAINA;116
133;CORALIE;114
134;MADDI;111
135;COLINE;109
136;GIULIA;106
137;SOPHIE;106
138;ANOUK;105
139;AINARA;105
140;LYA;105
141;INTZA;104
142;PALOMA;104
143;CLARISSE;104
144;ANAELLE;103
145;EMMY;101
146;LUCILE;101
147;HAIZEA;100
148;CLEMENTINE;100
149;MAIALEN;100
150;ESTELLE;100
151;LEILA;100
152;STELLA;99
153;THEA;97
154;MARINA;96
155;LAIA;95
156;MAYA;92
157;LORENA;91
158;MELANIE;91
159;MELINA;90
160;SOLENE;88
161;AURORE;87
162;NOELIE;85
163;LUMA;84
164;NORAH;84
165;AURELIE;83
166;ELINA;82
167;MAINA;81
168;CASSANDRA;81
169;PAOLA;81
170;TESSA;80
171;LOANE;80
172;LAURINE;79
173;ENOLA;75
174;LISON;74
175;RACHEL;74
176;YASMINE;74
177;NAOMI;72
178;NEREA;71
179;ALBANE;71
180;CAROLINE;71
181;MYA;70
182;LEANE;70
183;ELEONORE;70
184;ALEXANDRA;69
185;HANAE;68
186;LAURIE;67
187;NOA;66
188;ASSIA;66
189;FLORA;65
190;EMA;65
191;MAE;63
192;APOLLINE;62
193;LALY;62
194;LILIA;61
195;ELLA;61
196;MARILOU;60
197;LOU-ANNE;60
198;LAETITIA;60
199;SHANA;60
200;MILIA;60
201;AMELIA;59
202;AVA;59
203;JUNE;58
204;CONSTANCE;58
205;MAITENA;58
206;KELLY;57
207;SUZANNE;56
208;ALMA;55
209;LAURE;55
210;IZIA;54
211;ALIZEE;54
212;LYLOU;53
213;LUDIVINE;53
214;JONE;52
215;JOSEPHINE;52
216;GARANCE;50
217;ORIANE;50
218;TESS;49
219;LIA;49
220;LARA;49
221;HEGOA;49
222;JESSICA;49
223;DIANE;49
224;AYA;47
225;VIOLETTE;47
226;CELESTE;47
227;GAELLE;46
228;SASHA;46
229;FLAVIE;45
230;ALYSSA;45
231;AUDE;45
232;LOUISA;45
233;ANGELINA;44
234;CLEA;43
235;KIARA;43
236;LAIDA;42
237;SOLINE;41
238;MARIA;40
239;MAIDER;40
240;LYNA;40
241;LUCY;39
242;SAMANTHA;39
243;LEIA;39
244;YUNA;38
245;LUCIA;38
246;MAELIE;38
247;MYRIAM;38
248;MIREN;38
