;prenom;nombre
0;ANE;6910
1;IRATI;5621
2;JUNE;4794
3;NAHIA;4727
4;LUCIA;4198
5;UXUE;4142
6;LEIRE;3906
7;PAULA;3862
8;MARIA;3340
9;NAROA;3302
10;IZARO;3296
11;SARA;3257
12;NEREA;3096
13;NORA;3093
14;MAIALEN;3048
15;HAIZEA;2971
16;NAIA;2610
17;MADDI;2530
18;EIDER;2211
19;AINHOA;2193
20;MAIDER;2114
21;NOA;2085
22;IRAIA;2082
23;LAIA;2073
24;IRENE;2044
25;ALBA;1954
26;AMAIA;1940
27;AITANA;1936
28;MALEN;1895
29;ANDREA;1792
30;ENARA;1741
31;GARAZI;1668
32;AROA;1615
33;SOFIA;1600
34;LAURA;1591
35;OIHANE;1552
36;MARTINA;1514
37;NAIARA;1465
38;AINARA;1402
39;ANNE;1377
40;JONE;1310
41;ELENE;1296
42;SAIOA;1253
43;LEYRE;1250
44;ADRIANA;1233
45;IRUNE;1217
46;CARLA;1192
47;CLAUDIA;1160
48;DANIELA;1144
49;MAREN;1126
50;OLAIA;1111
51;MARTA;1093
52;OLATZ;1049
53;ALAIA;1031
54;ALAZNE;986
55;MAITANE;982
56;MIREN;967
57;UDANE;939
58;ANA;937
59;ARIANE;921
60;MARINA;915
61;AINHIZE;905
62;LIBE;903
63;MARA;885
64;NAGORE;878
65;INES;874
66;JARE;874
67;ALAITZ;848
68;ELAIA;829
69;ELENA;800
70;JULIA;765
71;LOREA;764
72;AIALA;759
73;IZAR;746
74;EMMA;719
75;JANIRE;718
76;PAULE;716
77;MAITE;704
78;AIORA;636
79;ENERITZ;628
80;NATALIA;616
81;IRAIDE;609
82;CARMEN;592
83;VALERIA;585
84;ALEJANDRA;573
85;LUR;557
86;IRIA;540
87;CRISTINA;533
88;ANGELA;529
89;IRATXE;512
90;CARLOTA;507
91;JULENE;500
92;LAIDA;495
93;IXONE;491
94;IZADI;483
95;SANDRA;477
96;LARA;457
97;PATRICIA;457
98;MIREIA;456
99;ERIKA;453
100;LORENA;450
101;CHLOE;443
102;NAHIKARI;442
103;ZURIÑE;436
104;ITXASO;435
105;MAIA;432
106;YAIZA;430
107;INTZA;429
108;ARRATE;427
109;ARAITZ;424
110;EVA;403
111;ITZIAR;390
112;ILARGI;389
113;OIHANA;388
114;OLIVIA;376
115;ALICIA;373
116;EDURNE;369
117;JOANE;369
118;VEGA;363
119;LIDE;362
120;GABRIELA;361
121;ISABEL;361
122;NIKOLE;361
123;SILVIA;358
124;VERA;354
125;ITSASO;350
126;CLARA;350
127;MIRIAM;345
128;NEKANE;332
129;ZOE;330
130;KATTALIN;323
131;LEA;321
132;ARHANE;321
133;VICTORIA;307
134;AMAIUR;302
135;TERESA;298
136;SHEILA;296
137;VALENTINA;294
138;CANDELA;293
139;CELIA;293
140;NURIA;290
141;ALIZE;289
142;NADIA;289
143;AITZIBER;281
144;RAQUEL;280
145;SARAY;279
146;AYA;278
147;SALMA;269
148;HELENE;267
149;BEATRIZ;266
150;ARIADNA;266
151;SARE;264
152;ESTIBALIZ;261
153;MIA;247
154;IDOIA;243
155;LOLA;242
156;ARENE;241
157;ELSA;241
158;JUDITH;239
159;AMAYA;237
160;BLANCA;236
161;NOELIA;236
162;JIMENA;235
163;HELENA;232
164;IARA;227
165;ZAIRA;227
166;CAROLINA;225
167;INGE;225
168;LUNA;220
169;NAIRA;218
170;IZASKUN;211
171;ROCIO;206
172;NILE;201
173;MIRARI;200
174;IRANZU;200
175;ELISA;199
176;ARAIA;197
177;LIDIA;197
178;MALAK;197
179;YASMIN;196
180;ARANE;193
181;AIARA;193
182;ALAINE;192
183;FATIMA;189
184;IRADI;189
185;AISHA;188
186;AINTZANE;187
187;LIERNI;187
188;LEXURI;186
189;KATALIN;183
190;HAIZENE;181
191;IRANTZU;179
192;DIANA;177
193;LIA;176
194;MARWA;174
195;YARA;174
196;ITSASNE;173
197;IRIS;172
198;HEGOA;172
199;KARLA;172
200;REBECA;172
201;ALMA;171
202;JOANA;170
203;PAOLA;169
204;LARRAITZ;167
205;GOIZANE;167
206;ESTHER;167
207;EKIÑE;166
208;IBONE;165
209;MONICA;165
210;LEIZE;164
211;NAYRA;160
212;ARIADNE;158
213;LINA;157
214;ARIANNE;156
215;AFRICA;156
216;RUTH;155
217;AMIRA;155
218;EUNATE;154
219;MARIAM;151
220;XARE;151
221;ALEXIA;150
222;JULE;150
223;BEGOÑA;148
224;SARAI;147
225;ZIORTZA;145
226;NOEMI;145
227;AMANE;144
228;MANUELA;143
229;EUKENE;142
230;TANIA;141
231;ARAI;141
232;JOSUNE;138
233;JAIONE;137
234;MARIANA;136
235;IONE;135
236;ALEXANDRA;134
237;HENAR;133
238;SONIA;132
239;MAIER;130
240;AMETS;130
241;ISABELLA;127
242;VERONICA;127
243;KIARA;126
244;MALENA;125
245;LORE;123
246;ARIANA;122
247;SORAYA;119
248;NICOLE;119
249;ANA MARIA;117
250;AINIZE;115
251;SAMARA;113
252;CECILIA;110
253;AMARA;110
254;ONEKA;107
255;CLOE;107
256;SAMIRA;107
257;YASMINA;107
258;LAIENE;106
259;ITXASNE;104
260;MADDALEN;103
261;ONINTZE;102
262;EKHIÑE;98
263;DANIELLA;98
264;IHINTZA;98
265;NOAH;97
266;GORANE;96
267;TRIANA;96
268;MAGALI;95
269;ONINTZA;94
270;KATIXA;93
271;KIRA;93
272;AMALUR;92
273;AMINA;92
274;AIDA;92
275;KHADIJA;92
276;ANDERE;91
277;JENNIFER;91
278;SARAH;91
279;AZAHARA;90
280;CATALINA;90
281;UXIA;90
282;AFRIKA;89
283;ADARA;89
284;GISELA;89
285;MIKELE;89
286;SUA;88
287;ZALOA;87
288;NOUR;87
289;ABRIL;86
290;CAYETANA;86
291;JESSICA;85
292;IUNE;85
293;GALA;85
294;BIDANE;85
295;ELIA;84
296;AIURI;84
297;NARA;83
298;TELMA;82
299;AICHA;80
300;GAROA;78
301;GOIURI;78
302;MAR;78
303;MARIA CARMEN;78
304;HIBA;77
305;LYDIA;76
