;prenom;nombre
0;LUCAS;1430
1;HUGO;1210
2;THEO;1100
3;THOMAS;1089
4;ENZO;1073
5;LEO;1064
6;LOUIS;1061
7;BAPTISTE;1050
8;PAUL;1023
9;JULES;951
10;RAPHAEL;907
11;GABRIEL;901
12;MATHIS;877
13;MAXIME;871
14;CLEMENT;864
15;NATHAN;862
16;TOM;796
17;IBAN;790
18;ARTHUR;766
19;OIHAN;688
20;MAEL;636
21;ALEXANDRE;599
22;ANTOINE;599
23;ETHAN;577
24;NOAH;561
25;MARTIN;558
26;ENEKO;543
27;ESTEBAN;530
28;SACHA;515
29;QUENTIN;507
30;PIERRE;505
31;XAN;504
32;ALEXIS;487
33;AXEL;471
34;NICOLAS;470
35;BASTIEN;468
36;ROMAIN;468
37;VALENTIN;463
38;MATHEO;441
39;SIMON;429
40;YANIS;426
41;DIEGO;422
42;JULEN;419
43;PABLO;415
44;TIMEO;415
45;BENJAMIN;410
46;ANTTON;410
47;GABIN;404
48;SAMUEL;402
49;NOLAN;391
50;MATHIEU;388
51;JULIEN;379
52;NOE;379
53;TIAGO;371
54;MATTEO;364
55;VICTOR;357
56;LIAM;353
57;JEAN;346
58;NOA;345
59;MATEO;334
60;ROBIN;334
61;ANDONI;330
62;TITOUAN;329
63;ADRIEN;324
64;JON;323
65;UNAI;321
66;MATTIN;318
67;ADAM;317
68;FLORIAN;309
69;EVAN;290
70;MAXENCE;284
71;THIBAULT;270
72;RAFAEL;268
73;MATHYS;262
74;MATHIAS;260
75;DORIAN;256
76;VINCENT;250
77;KYLIAN;250
78;REMI;249
79;LEON;247
80;XABI;240
81;ANTHONY;235
82;DYLAN;234
83;KEVIN;233
84;BIXENTE;230
85;NINO;230
86;PATXI;212
87;MARIUS;211
88;DAMIEN;208
89;AARON;208
90;ELIOTT;201
91;PEIO;199
92;IMANOL;198
93;LUKA;196
94;DAVID;192
95;TRISTAN;191
96;GASPARD;189
97;LILIAN;189
98;MILO;188
99;LENNY;181
100;CORENTIN;180
101;RUBEN;177
102;MIKEL;177
103;GUILLAUME;176
104;RAYAN;174
105;ILAN;172
106;LOUKA;164
107;YANN;163
108;LORENZO;151
109;YOHAN;151
110;LOIC;149
111;CHARLES;148
112;JEREMY;145
113;ANTONIN;141
114;MATTHIEU;141
115;WILLIAM;141
116;CAMILLE;137
117;ARNAUD;136
118;LUKAS;136
119;THIBAUT;134
120;YOAN;131
121;OSCAR;131
122;CHARLIE;128
123;ALBAN;128
124;LUKEN;127
125;JOHAN;127
126;CHARLY;124
127;GAEL;123
128;NAEL;123
129;EDEN;123
130;AUGUSTIN;123
131;ELLANDE;122
132;KILLIAN;118
133;KEPA;118
134;TXOMIN;117
135;MAHE;116
136;JULIAN;115
137;SOAN;115
138;GAETAN;114
139;JORDAN;114
140;TIMOTHE;114
141;PACO;114
142;LOAN;113
143;JOAN;110
144;KENZO;110
145;INAKI;108
146;ALEX;108
147;TIMOTHEE;108
148;TEO;108
149;ELIOT;100
150;BENOIT;98
151;JOSEPH;97
152;LEANDRO;97
153;MEHDI;93
154;AURELIEN;93
155;YON;93
156;SASHA;92
157;JOKIN;90
158;ISAAC;89
159;ILLAN;89
160;ERWAN;89
161;SEBASTIEN;89
162;MILAN;88
163;LUCA;86
164;JONATHAN;86
165;FLORENT;86
166;NOAM;85
167;REMY;85
168;MALO;84
169;TAO;84
170;JUSTIN;83
171;NOLHAN;83
172;FELIX;83
173;OWEN;83
174;MATIS;83
175;AMAURY;83
176;MICKAEL;82
177;LUCIEN;80
178;JEAN-BAPTISTE;79
179;YOANN;77
180;GAUTHIER;76
181;LYAM;76
182;ALLANDE;75
183;EMILE;75
184;IBAI;74
185;SOHAN;73
186;XIMUN;72
187;TONY;72
188;ELIAS;71
189;MOHAMED;71
190;FABIEN;69
191;UGO;69
192;KILIAN;68
193;JORIS;68
194;GORKA;68
195;ROMEO;68
196;NATHANAEL;67
197;MAX;67
198;DIMITRI;66
199;BRYAN;66
200;AITOR;66
201;PAOLO;65
202;RYAN;64
203;MATTHIAS;63
204;GABI;63
205;GUILHEM;63
206;LOHAN;62
207;LORIS;61
208;ILYES;60
209;KAIS;60
210;BASILE;59
211;MAE;59
212;SOFIANE;59
213;LOGAN;58
214;LENY;58
215;AYDEN;58
216;ETIENNE;58
217;ACHILLE;57
218;SYLVAIN;56
219;ELLIOT;56
220;EWEN;54
221;ULYSSE;54
222;ANTON;54
223;THIBAUD;53
224;ANGEL;53
225;THIAGO;52
226;GREGOIRE;52
227;AMIR;51
228;AUGUSTE;51
229;CYRIL;51
230;SAM;50
231;XALBAT;49
232;SAMY;49
233;JASON;48
234;XAVIER;48
235;YAN;47
236;MARC;47
237;MARCEL;46
238;ELIO;46
239;MORGAN;46
240;YANNIS;45
241;ARMAND;45
242;NASSIM;44
243;LINO;44
244;IKER;44
245;NAIM;43
246;JOSHUA;43
247;SWANN;43
248;GEXAN;41
249;MARLEY;40
250;AMINE;40
251;EKAITZ;40
252;MARIN;39
253;BRICE;39
254;ALAN;39
255;MALONE;38
256;AYMERIC;38
257;CEDRIC;37
258;LEANDRE;37
259;FRANCOIS;36
260;EZIO;36
261;LUDOVIC;36
262;KYLLIAN;36
263;ADRIAN;36
264;MARCUS;36
265;GASTON;35
266;ALI;35
267;EDOUARD;35
268;BILAL;35
269;COME;35
270;ELIE;34
271;TIM;34
272;ARSENE;34
273;CESAR;34
274;ANDDE;33
275;SANDRO;33
276;HENRI;32
277;TANGUY;32
278;FABIO;31
279;NOHAM;31
280;AYOUB;31
281;DANIEL;31
282;STEVEN;30
283;MARCEAU;30
284;MARCO;30
285;ENOHA;30
286;ANGELO;30
287;LOIS;29
288;AMAIUR;29
289;SWAN;29
290;EVANN;29
291;NILS;29
292;ANDREA;29
293;LEOPOLD;28
294;ENAUT;28
295;ISMAEL;28
296;YASSINE;28
297;NEO;28
298;LUC;28
299;ARITZ;27
300;EMMANUEL;27
301;LEONARD;27
302;SAMI;25
303;GILEN;25
304;ALLAN;25
305;NOLANN;25
306;MAYRON;25
307;IBRAHIM;25
308;AMETS;25
309;OLIVIER;25
310;WASSIM;24
311;ELOUAN;24
312;IMRAN;24
313;LOU;24
314;MELVIN;24
315;YOUNES;24
316;ROMAN;23
317;SANTIAGO;23
318;TYMEO;23
319;ILIAN;23
320;CHRISTOPHE;23
321;HAYDEN;23
322;MATIAS;22
323;YLAN;22
324;LUIS;22
325;HODEI;22
326;GUSTAVE;22
327;MANOA;21
328;HECTOR;21
329;YOHANN;21
330;GAUTIER;21
331;SOREN;21
332;PEYO;21
333;BRUNO;20
334;ERIC;20
335;NOAN;20
336;SOLAL;20
337;ILYAN;20
338;MIGUEL;20
339;WALID;20
340;ENAITZ;20
341;ANAS;19
342;JEREMIE;19
343;ABEL;19
