;prenom;nombre
0;IKER;7207
1;JON;6726
2;UNAI;6162
3;MIKEL;6065
4;ANDER;5984
5;MARKEL;5373
6;AIMAR;5286
7;OIER;5215
8;JULEN;4903
9;ASIER;4824
10;IBAI;4507
11;ENEKO;4481
12;AITOR;3843
13;XABIER;3770
14;UNAX;3492
15;INIGO;2852
16;PABLO;2835
17;MARTIN;2758
18;ADRIAN;2713
19;BENAT;2620
20;DANIEL;2589
21;OIHAN;2455
22;JAVIER;2362
23;ARITZ;2334
24;HUGO;2197
25;ALAIN;2071
26;DANEL;2011
27;GORKA;1986
28;ALEX;1930
29;DAVID;1923
30;ALVARO;1829
31;ALEJANDRO;1788
32;DIEGO;1665
33;HODEI;1633
34;ANER;1603
35;EKAIN;1523
36;AMETS;1523
37;EKAITZ;1461
38;URKO;1448
39;IZAN;1442
40;LANDER;1415
41;LUCAS;1323
42;TELMO;1248
43;MARIO;1247
44;MARCOS;1233
45;ERIK;1230
46;EDER;1215
47;JOSU;1188
48;LUKEN;1182
49;IVAN;1166
50;NICOLAS;1162
51;GAIZKA;1161
52;ANDONI;1153
53;SERGIO;1142
54;IZEI;1107
55;IBON;1065
56;PEIO;1061
57;ENAITZ;1041
58;IMANOL;1032
59;MIGUEL;1014
60;INAKI;998
61;ENDIKA;994
62;ARATZ;989
63;MATEO;984
64;MANEX;918
65;JUAN;917
66;PAUL;840
67;LUKA;837
68;AIUR;837
69;IAN;803
70;PERU;761
71;EKHI;736
72;JOKIN;729
73;YERAY;728
74;RUBEN;727
75;JORGE;721
76;LEO;689
77;IGOR;670
78;ENAUT;670
79;EGOITZ;662
80;GONZALO;658
81;JOSEBA;650
82;LIER;646
83;MARCO;634
84;ADEI;632
85;LIHER;624
86;JOEL;624
87;OINATZ;609
88;GUILLERMO;608
89;ADUR;578
90;IGNACIO;575
91;ALEXANDER;571
92;CARLOS;561
93;GABRIEL;555
94;HARITZ;550
95;JON ANDER;540
96;AARON;528
97;HEGOI;524
98;ADAM;516
99;ARKAITZ;490
100;RAUL;475
101;XUBAN;470
102;UGAITZ;467
103;JAIME;466
104;ANGEL;462
105;IRAITZ;459
106;GALDER;451
107;ERLANTZ;449
108;SAMUEL;446
109;URTZI;427
110;VICTOR;421
111;ION;420
112;ENZO;418
113;MOHAMED;406
114;AINGERU;403
115;ISMAEL;402
116;HECTOR;402
117;LUIS;399
118;EKI;394
119;AITZOL;392
120;LUCA;377
121;IORITZ;373
122;KIMETZ;372
123;BRUNO;368
124;ALBERTO;364
125;OSCAR;363
126;XABAT;361
127;SANTIAGO;360
128;ODEI;360
129;JESUS;356
130;KOLDO;354
131;RAYAN;343
132;AGER;341
133;INHAR;337
134;BORJA;336
135;EKAI;329
136;KERMAN;328
137;MANUEL;325
138;IRAI;322
139;CRISTIAN;315
140;EDUARDO;307
141;GARI;305
142;INAR;294
143;ERIC;287
144;KEVIN;283
145;OMAR;281
146;PEDRO;279
147;DYLAN;277
148;ANARTZ;276
149;FRANCISCO JAVIER;274
150;ANDRES;270
151;JOANES;266
152;AIERT;259
153;JORITZ;259
154;LUKAS;257
155;CHRISTIAN;257
156;MARC;257
157;AXEL;257
158;GAEL;256
159;JAKES;247
160;ANTONIO;246
161;LIAM;245
162;KEPA;243
163;JOSE;242
164;YAGO;238
165;MATTIN;235
166;FERNANDO;231
167;KAIET;231
168;RODRIGO;230
169;NOAH;225
170;ALAN;222
171;HAITZ;221
172;OLIVER;219
173;EGOI;211
174;ZUHAITZ;209
175;IBAN;208
176;FERMIN;208
177;XABI;207
178;JONATHAN;205
179;THIAGO;203
180;TOMAS;203
181;ANAS;201
182;SENDOA;201
183;SAUL;198
184;YOUSSEF;198
185;RAFAEL;197
186;ENRIQUE;189
187;ISAAC;189
188;AMIR;183
189;MAREN;181
190;YERAI;179
191;ETHAN;178
192;MATIAS;177
193;DARIO;176
194;IAGO;176
195;KAI;172
196;GARIKOITZ;170
197;DENIS;165
198;IOSU;164
199;MIGUEL ANGEL;159
200;ALAI;157
201;JAGOBA;155
202;TEO;154
203;ELIAS;154
204;ROBERTO;153
205;EINAR;149
206;MARKO;147
207;NIKO;146
208;AMETZ;144
209;AYMAN;143
210;IMRAN;142
211;JURGI;142
212;NIKOLAS;137
213;LUAR;135
214;SEBASTIAN;130
215;AYOUB;128
216;MARTXEL;127
217;PELLO;125
218;NEIZAN;125
219;ENAI;125
220;MARK;123
221;ADAY;122
222;ISRAEL;119
223;ABRAHAM;116
224;ELOY;115
225;EUKEN;115
226;JOSE MARIA;114
227;ARETX;112
228;KILIAN;111
229;AURITZ;110
230;LIZAR;109
231;TASIO;109
232;PATXI;107
233;JOSE LUIS;107
234;FRANCISCO;106
235;PAU;106
236;ERITZ;105
237;BRIAN;104
238;CESAR;103
239;SUHAR;103
240;XUHAR;102
241;AKETZA;102
242;XIKER;102
243;HARRIET;101
244;KEMEN;99
245;IELTXU;99
246;ZAKARIA;99
247;XANET;98
248;BILAL;97
249;ANTON;96
250;UR;96
251;ELEDER;95
252;YASSIN;95
253;ARTURO;95
254;JOSE ANTONIO;94
255;LUR;93
256;AHMED;92
257;ENETZ;91
258;RICARDO;91
259;AKETX;91
260;YOEL;90
261;HARKAITZ;90
262;ALI;90
263;TXOMIN;88
264;ABEL;86
265;ANJE;85
266;GONTZAL;84
267;AMAIUR;82
268;OXEL;82
269;JOAN;81
270;KENAI;81
271;YOUNES;81
272;JUAN JOSE;80
273;BITTOR;80
274;IBRAHIM;80
275;HARRI;80
276;NIKOLA;79
277;MAURO;79
278;EDORTA;78
279;SIMON;75
280;HAMZA;75
281;XAVIER;75
282;JUAN PABLO;75
283;ALFONSO;75
284;EIDEN;75
285;MOHAMMED;74
286;GERMAN;74
287;WALID;74
288;IZAI;73
289;BOSCO;73
290;FELIX;73
291;RAMON;73
292;JOSUE;72
293;ARAN;71
294;AMIN;71
295;JULIO;70
296;BRYAN;69
297;ALEN;69
298;JOAQUIN;68
299;ILYAS;68
300;NESTOR;67
301;OROITZ;67
302;JOSE MANUEL;67
303;EIDAN;67
304;ANTTON;66
305;TXABER;65
306;ETXAHUN;64
307;ERICK;63
308;JAIRO;63
309;MOHAMED AMIN;62
310;URKI;61
311;ZIGOR;60
312;YASSER;60
313;BRAIS;60
314;JOSE MIGUEL;60
315;ELUR;60
316;JOHN;59
317;IYAD;58
318;ALEIX;58
319;ORTZI;57
320;ISMAIL;57
321;AKRAM;56
322;SAMI;56
323;JULIAN;56
324;NICO;55
325;HAIMAR;55
326;MICHAEL;54
327;POL;54
328;BINGEN;54
329;IGOTZ;54
330;NIZAR;53
331;SAAD;53
332;JON MIKEL;53
333;ADAN;53
334;GILEN;53
335;SUGOI;52
336;JANITZ;51
337;LEONARDO;51
338;OSKAR;51
339;GANIX;50
340;AIDAN;48
341;ALONSO;47
342;IOAR;47
343;EMILIO;47
344;ANTXON;47
345;AXIER;47
346;ROKE;47
347;EDGAR;46
348;JUAN MANUEL;46
349;ANAITZ;46
350;EZEQUIEL;46
351;ELIAN;45
352;EIHAR;44
353;KARIM;44
354;NOEL;44
355;AETZ;43
356;JONATAN;43
357;PAULO;43
358;MARTZEL;43
359;NAKOR;42
360;ANDEKA;42
361;ALATZ;42
362;YASIN;41
363;JUAN CARLOS;41
364;SANCHO;40
365;ESTEBAN;40
366;ALFREDO;38
367;UHAITZ;38
368;JEREMY;38
369;JOSE JAVIER;38
370;ROMAN;37
371;NATHAN;37
372;IZOTZ;37
373;TRISTAN;36
374;ORIOL;36
375;ISKANDER;36
376;SABIN;35
377;MARWAN;35
378;JUAN DAVID;35
379;REDA;35
380;AXULAR;35
381;GOTZON;34
382;JUAN ANTONIO;34
383;MATTEO;33
384;JON ANDONI;33
385;NABIL;33
386;EMMANUEL;33
387;HEIKO;32
388;MAIKEL;32
389;BELTRAN;32
390;YURI;32
391;IPAR;32
392;LUIS MIGUEL;32
393;JOSE IGNACIO;32
394;YAHYA;32
395;TIAGO;32
396;MAEL;32
397;EMANUEL;31
398;ONATZ;31
399;EVAN;31
400;LUCCA;31
401;ANWAR;31
402;HARAN;31
403;ANDREI;30
404;ALEXIS;30
405;YASSINE;30
406;HARON;29
407;DEREK;29
408;ASER;29
409;URIEL;29
410;ILIAS;28
411;EIZAN;28
412;GEXAN;28
413;CHRISTOPHER;28
414;KIRMEN;27
415;BENJAMIN;27
416;ANDOITZ;27
417;PATRIK;27
418;DAMIAN;27
419;ARES;26
420;BRAYAN;26
