;sexe;prenom;index;nombre
0;2;ANE;46612;6910
1;2;IRATI;46629;5621
2;2;JUNE;46674;4794
3;2;NAHIA;46651;4727
4;2;LUCIA;46677;4198
5;2;UXUE;46788;4142
6;2;LEIRE;45570;3906
7;2;PAULA;45476;3862
8;2;MARIA;45553;3340
9;2;NAROA;46826;3302
10;2;IZARO;46847;3296
11;2;SARA;46764;3257
12;2;NEREA;46977;3096
13;2;NORA;46808;3093
14;2;MAIALEN;46946;3048
15;2;HAIZEA;46793;2971
16;2;NAIA;46922;2610
17;2;MADDI;46911;2530
18;2;EIDER;46957;2211
19;2;AINHOA;45809;2193
20;2;MAIDER;32196;2114
21;2;NOA;46904;2085
22;2;IRAIA;46947;2082
23;2;LAIA;47020;2073
24;2;IRENE;45683;2044
25;2;ALBA;46920;1954
26;2;AMAIA;46989;1940
27;2;AITANA;46898;1936
28;2;MALEN;47126;1895
29;2;ANDREA;45979;1792
30;2;ENARA;47036;1741
31;2;GARAZI;40159;1668
32;2;AROA;39996;1615
33;2;SOFIA;45697;1600
34;2;LAURA;45937;1591
35;2;OIHANE;42136;1552
36;2;MARTINA;47074;1514
37;2;NAIARA;34293;1465
38;2;AINARA;40168;1402
39;2;ANNE;43345;1377
40;2;JONE;45975;1310
41;2;ELENE;39747;1296
42;2;SAIOA;36401;1253
43;2;LEYRE;40576;1250
44;2;ADRIANA;40153;1233
45;2;IRUNE;36384;1217
46;2;CARLA;45873;1192
47;2;CLAUDIA;36391;1160
48;2;DANIELA;47195;1144
49;2;MAREN;46100;1126
50;2;OLAIA;40229;1111
51;2;MARTA;32558;1093
52;2;OLATZ;32591;1049
53;2;ALAIA;47212;1031
54;2;ALAZNE;32456;986
55;2;MAITANE;32477;982
56;2;MIREN;47266;967
57;2;UDANE;39628;939
58;2;ANA;34467;937
59;2;ARIANE;47384;921
60;2;MARINA;34417;915
61;2;AINHIZE;34098;905
62;2;LIBE;39832;903
63;2;MARA;47341;885
64;2;NAGORE;28726;878
65;2;INES;46068;874
66;2;JARE;47731;874
67;2;ALAITZ;46079;848
68;2;ELAIA;47455;829
69;2;ELENA;46069;800
70;2;JULIA;40395;765
71;2;LOREA;38247;764
72;2;AIALA;39777;759
73;2;IZAR;39754;746
74;2;EMMA;47404;719
75;2;JANIRE;28961;718
76;2;PAULE;24494;716
77;2;MAITE;28824;704
78;2;AIORA;38426;636
79;2;ENERITZ;32815;628
80;2;NATALIA;36948;616
81;2;IRAIDE;30254;609
82;2;CARMEN;40568;592
83;2;VALERIA;40639;585
84;2;ALEJANDRA;32683;573
85;2;LUR;38679;557
86;2;IRIA;40549;540
87;2;CRISTINA;37177;533
88;2;ANGELA;36953;529
89;2;IRATXE;29101;512
90;2;CARLOTA;36807;507
91;2;JULENE;38770;500
92;2;LAIDA;38740;495
93;2;IXONE;29035;491
94;2;IZADI;42103;483
95;2;SANDRA;29402;477
96;2;LARA;46284;457
97;2;PATRICIA;29684;457
98;2;MIREIA;29000;456
99;2;ERIKA;28982;453
100;2;LORENA;28410;450
101;2;CHLOE;47734;443
102;2;NAHIKARI;29107;442
103;2;ZURIÑE;29139;436
104;2;ITXASO;29159;435
105;2;MAIA;38695;432
106;2;YAIZA;29098;430
107;2;INTZA;35065;429
108;2;ARRATE;29357;427
109;2;ARAITZ;29144;424
110;2;EVA;32844;403
111;2;ITZIAR;29217;390
112;2;ILARGI;40052;389
113;2;OIHANA;29251;388
114;2;OLIVIA;47662;376
115;2;ALICIA;32979;373
116;2;EDURNE;29147;369
117;2;JOANE;29486;369
118;2;VEGA;46793;363
119;2;LIDE;29586;362
120;2;GABRIELA;46545;361
121;2;ISABEL;29431;361
122;2;NIKOLE;25038;361
123;2;SILVIA;29466;358
124;2;VERA;48345;354
125;2;ITSASO;29208;350
126;2;CLARA;36939;350
127;2;MIRIAM;29420;345
128;2;NEKANE;29372;332
129;2;ZOE;39041;330
130;2;KATTALIN;38951;323
131;2;LEA;28022;321
132;2;ARHANE;28416;321
133;2;VICTORIA;40914;307
134;2;AMAIUR;41160;302
135;2;TERESA;37523;298
136;2;SHEILA;29536;296
137;2;VALENTINA;34727;294
138;2;CANDELA;41053;293
139;2;CELIA;37270;293
140;2;NURIA;29541;290
141;2;ALIZE;32651;289
142;2;NADIA;33089;289
143;2;AITZIBER;29474;281
144;2;RAQUEL;28638;280
145;2;SARAY;29327;279
146;2;AYA;37206;278
147;2;SALMA;42918;269
148;2;HELENE;33110;267
149;2;BEATRIZ;29855;266
150;2;ARIADNA;33117;266
151;2;SARE;19406;264
152;2;ESTIBALIZ;24379;261
153;2;MIA;33554;247
154;2;IDOIA;28714;243
155;2;LOLA;43218;242
156;2;ARENE;27163;241
157;2;ELSA;29364;241
158;2;JUDITH;29530;239
