;sexe;prenom;dpt;nombre;
0;2;EMMA;64;1466;1
1;2;LEA;64;1166;1
2;2;MANON;64;1158;
3;2;CHLOE;64;1107;
4;2;INES;64;958;1
5;2;JADE;64;891;
6;2;LOLA;64;850;
7;2;CAMILLE;64;840;
8;2;SARAH;64;721;
9;2;LOUISE;64;704;
10;2;CLARA;64;692;
11;2;LUCIE;64;684;
12;2;ZOE;64;660;
13;2;ANAIS;64;649;
14;2;ELAIA;64;647;
15;2;JULIETTE;64;611;
16;2;LENA;64;600;
17;2;EVA;64;587;
18;2;LOU;64;583;
19;2;ALICE;64;572;
20;2;CHARLOTTE;64;572;
21;2;MARIE;64;567;
22;2;LILOU;64;561;
23;2;ROMANE;64;560;
24;2;JULIE;64;542;
25;2;LISA;64;539;
26;2;MATHILDE;64;537;
27;2;JEANNE;64;528;
28;2;MILA;64;515;
29;2;OCEANE;64;509;
30;2;ANNA;64;489;
31;2;LAURA;64;465;
32;2;PAULINE;64;463;
33;2;AMAIA;64;457;1
34;2;NINA;64;457;
35;2;LUNA;64;439;
36;2;JULIA;64;425;
37;2;MARGAUX;64;424;
38;2;OIHANA;64;412;
39;2;NAHIA;64;409;1
40;2;AMBRE;64;404;
41;2;ELENA;64;396;
42;2;CLEMENCE;64;393;
43;2;AGATHE;64;373;
44;2;MAEVA;64;361;
45;2;EMILIE;64;343;
46;2;ENEA;64;339;1
47;2;MARGOT;64;339;
48;2;ANA;64;335;
49;2;JUSTINE;64;334;
50;2;NOEMIE;64;332;
51;2;NAIA;64;325;
52;2;CELIA;64;309;
53;2;ALICIA;64;304;
54;2;ELISA;64;298;
55;2;LOUNA;64;294;
56;2;ELSA;64;288;
57;2;ELISE;64;286;
58;2;LINA;64;282;
59;2;ROSE;64;264;
60;2;LILY;64;261;
61;2;MORGANE;64;246;
62;2;LEONIE;64;234;
63;2;CARLA;64;229;
64;2;LISE;64;226;
65;2;OLIVIA;64;220;
66;2;ELEA;64;217;
67;2;LOUANE;64;214;
68;2;MARINE;64;214;
69;2;ELORRI;64;210;1
70;2;MAIA;64;208;
71;2;MIA;64;208;
72;2;VICTORIA;64;204;
73;2;MELISSA;64;204;
74;2;LANA;64;198;
75;2;MAIANA;64;192;
76;2;LILI;64;189;
77;2;ELOISE;64;187;
78;2;MAELLE;64;186;
79;2;MARION;64;185;
