;sexe;prenom;nombre;vote
0;2;ANE;6910;
1;2;IRATI;5621;
2;2;JUNE;4794;1
3;2;NAHIA;4727;
4;2;LUCIA;4198;
5;2;UXUE;4142;
6;2;LEIRE;3906;
7;2;PAULA;3862;1
8;2;MARIA;3340;
9;2;NAROA;3302;
10;2;IZARO;3296;
11;2;SARA;3257;
12;2;NEREA;3096;
13;2;NORA;3093;
14;2;MAIALEN;3048;
15;2;HAIZEA;2971;2
16;2;NAIA;2610;
17;2;MADDI;2530;
18;2;EIDER;2211;
19;2;AINHOA;2193;
20;2;MAIDER;2114;
21;2;NOA;2085;
22;2;IRAIA;2082;
23;2;LAIA;2073;
24;2;IRENE;2044;
25;2;ALBA;1954;
26;2;AMAIA;1940;
27;2;AITANA;1936;1
28;2;MALEN;1895;
29;2;ANDREA;1792;
30;2;ENARA;1741;
31;2;GARAZI;1668;
32;2;AROA;1615;
33;2;SOFIA;1600;
34;2;LAURA;1591;
35;2;OIHANE;1552;
36;2;MARTINA;1514;
37;2;NAIARA;1465;
38;2;AINARA;1402;
39;2;ANNE;1377;
40;2;JONE;1310;
41;2;ELENE;1296;
42;2;SAIOA;1253;
43;2;LEYRE;1250;
44;2;ADRIANA;1233;
45;2;IRUNE;1217;
46;2;CARLA;1192;
47;2;CLAUDIA;1160;
48;2;DANIELA;1144;
49;2;MAREN;1126;
50;2;OLAIA;1111;
51;2;MARTA;1093;
52;2;OLATZ;1049;
53;2;ALAIA;1031;
54;2;ALAZNE;986;
55;2;MAITANE;982;
56;2;MIREN;967;
57;2;UDANE;939;
58;2;ANA;937;
59;2;ARIANE;921;
60;2;MARINA;915;
61;2;AINHIZE;905;
62;2;LIBE;903;
63;2;MARA;885;
64;2;NAGORE;878;
65;2;INES;874;
66;2;JARE;874;
67;2;ALAITZ;848;
68;2;ELAIA;829;
69;2;ELENA;800;
70;2;JULIA;765;
71;2;LOREA;764;
72;2;AIALA;759;
73;2;IZAR;746;
74;2;EMMA;719;
75;2;JANIRE;718;
76;2;PAULE;716;
77;2;MAITE;704;
78;2;AIORA;636;
79;2;ENERITZ;628;
80;2;NATALIA;616;
81;2;IRAIDE;609;
82;2;CARMEN;592;
