Nº;Nombre;Total;Por mil (‰)
1;IKER;  512;36,716
2;UNAI;  442;31,696
3;MIKEL;  441;31,624
4;JON;  380;27,25
5;ANDER;  379;27,178
6;ASIER;  362;25,959
7;OIER;  315;22,589
8;AITOR;  291;20,868
9;ENEKO;  278;19,935
10;MARKEL;  266;19,075
11;AIMAR;  264;18,932
12;IBAI;  263;18,86
13;ADRIAN;  244;17,497
14;JULEN;  232;16,637
15;XABIER;  216;15,489
16;PABLO;  213;15,274
17;UNAX;  203;14,557
18;DANIEL;  196;14,055
19;ARITZ;  166;11,904
20;IÑIGO;  159;11,402
21;GORKA;  158;11,33
22;DAVID;  149;10,685
23;ALEJANDRO;  145;10,398
24;BEÑAT;  144;10,326
25;SERGIO;  136;9,753
26;ALVARO;  135;9,681
27;DIEGO;  121;8,677
28;IVAN;  121;8,677
29;EKAITZ;  120;8,605
30;JAVIER;  120;8,605
31;GAIZKA;  119;8,534
32;ALEX;  107;7,673
33;ANDONI;  106;7,601
34;HUGO;  104;7,458
35;JOSU;  96;6,884
36;EGOITZ;  92;6,597
37;IMANOL;  92;6,597
38;URKO;  91;6,526
39;ENDIKA;  90;6,454
40;YERAY;  87;6,239
41;MARTIN;  85;6,095
42;JORGE;  78;5,593
43;IÑAKI;  77;5,522
44;JOSEBA;  76;5,45
45;IBON;  75;5,378
46;IGOR;  75;5,378
47;ERIK;  74;5,307
48;MARIO;  74;5,307
49;RUBEN;  72;5,163
50;MARCOS;  71;5,091
51;ALAIN;  68;4,876
52;EDER;  63;4,518
53;LANDER;  63;4,518
54;JOKIN;  57;4,087
55;JON ANDER;  56;4,016
56;IZAN;  55;3,944
57;EKAIN;  51;3,657
58;HODEI;  51;3,657
59;ARKAITZ;  49;3,514
60;MIGUEL;  49;3,514
61;NICOLAS;  49;3,514
62;OIHAN;  49;3,514
63;AARON;  48;3,442
64;DANEL;  45;3,227
65;ENAITZ;  44;3,155
66;GUILLERMO;  44;3,155
67;VICTOR;  41;2,94
68;PEIO;  40;2,868
69;HECTOR;  39;2,797
70;ALEXANDER;  38;2,725
71;URTZI;  38;2,725
72;JUAN;  37;2,653
73;ARATZ;  36;2,582
74;JOEL;  35;2,51
75;LUCAS;  35;2,51
76;CARLOS;  34;2,438
77;GONZALO;  34;2,438
78;AITZOL;  33;2,366
79;ERLANTZ;  33;2,366
80;GABRIEL;  33;2,366
81;HEGOI;  33;2,366
82;HARITZ;  32;2,295
83;ANER;  31;2,223
84;RAUL;  31;2,223
85;ALBERTO;  28;2,008
86;ANGEL;  28;2,008
87;KEVIN;  28;2,008
88;AMETS;  27;1,936
89;CHRISTIAN;  27;1,936
90;KOLDO;  27;1,936
91;IAN;  26;1,864
92;SAMUEL;  26;1,864
93;UGAITZ;  26;1,864
94;IELTXU;  24;1,721
95;IRAITZ;  24;1,721
96;ISMAEL;  24;1,721
97;LUIS;  24;1,721
98;MARCO;  24;1,721
99;OSCAR;  24;1,721
100;AINGERU;  23;1,649
101;BORJA;  23;1,649
102;ERIC;  22;1,578
103;KIMETZ;  22;1,578
104;EÑAUT;  21;1,506
105;JESUS;  20;1,434
106;LIER;  20;1,434
107;EDUARDO;  19;1,362
108;JONATHAN;  19;1,362
109;ANDRES;  18;1,291
110;JORITZ;  18;1,291
111;ODEI;  18;1,291
112;YERAI;  18;1,291
113;RODRIGO;  17;1,219
114;TELMO;  17;1,219
115;ADAM;  16;1,147
116;CRISTIAN;  16;1,147
117;FRANCISCO JAVIER;  16;1,147
118;PEDRO;  16;1,147
119;FERNANDO;  15;1,076
120;LUKEN;  15;1,076
121;OINATZ;  15;1,076
122;RAYAN;  15;1,076
123;SAUL;  15;1,076
124;YAGO;  15;1,076
125;EKHI;  14;1,004
126;ENRIQUE;  14;1,004
127;ETHAN;  14;1,004
128;IZEI;  14;1,004
129;LIHER;  14;1,004
130;IGNACIO;  13;0,932
131;ISRAEL;  13;0,932
132;JAIME;  13;0,932
133;OMAR;  13;0,932
134;ANTONIO;  12;0,861
135;GARIKOITZ;  12;0,861
136;IORITZ;  12;0,861
137;MOHAMED;  12;0,861
138;YOEL;  12;0,861
139;ALAN;  11;0,789
140;GALDER;  11;0,789
141;KAIET;  11;0,789
