Nº;Nombre;Total;Por mil (‰)
1;IKER;  2.001;39,25
2;JON;  1.845;36,19
3;ANDER;  1.583;31,051
4;UNAI;  1.582;31,031
5;MIKEL;  1.549;30,384
6;ASIER;  1.489;29,207
7;ENEKO;  1.209;23,715
8;AITOR;  1.203;23,597
9;MARKEL;  1.197;23,479
10;OIER;  1.145;22,459
11;XABIER;  1.011;19,831
12;AIMAR;  927;18,183
13;IBAI;  917;17,987
14;JULEN;  811;15,908
15;IÑIGO;  776;15,221
16;GORKA;  695;13,633
17;ARITZ;  647;12,691
18;UNAX;  620;12,161
19;ADRIAN;  617;12,103
20;DANIEL;  489;9,592
21;PABLO;  482;9,455
22;BEÑAT;  470;9,219
23;EKAITZ;  470;9,219
24;GAIZKA;  468;9,18
25;LANDER;  468;9,18
26;ALVARO;  462;9,062
27;ENDIKA;  460;9,023
28;DAVID;  417;8,18
29;ALAIN;  415;8,14
30;DIEGO;  409;8,023
31;EDER;  401;7,866
32;PEIO;  390;7,65
33;ANDONI;  381;7,473
34;IBON;  372;7,297
35;JAVIER;  369;7,238
36;ALEJANDRO;  367;7,199
37;IMANOL;  358;7,022
38;JOSU;  355;6,963
39;MARTIN;  312;6,12
40;ALEX;  293;5,747
41;SERGIO;  292;5,728
42;EKAIN;  282;5,531
43;YERAY;  274;5,375
44;URKO;  272;5,335
45;JON ANDER;  266;5,218
46;ANER;  258;5,061
47;EGOITZ;  254;4,982
48;IVAN;  240;4,708
49;ERLANTZ;  233;4,57
50;HUGO;  222;4,355
51;JOSEBA;  222;4,355
52;DANEL;  220;4,315
53;ALEXANDER;  218;4,276
54;HODEI;  202;3,962
55;IGOR;  199;3,903
56;PAUL;  187;3,668
57;ARKAITZ;  180;3,531
58;IZAN;  180;3,531
59;ENAITZ;  177;3,472
60;GALDER;  175;3,433
61;ERIK;  173;3,393
62;JORGE;  173;3,393
63;RUBEN;  172;3,374
64;GUILLERMO;  171;3,354
65;IGNACIO;  170;3,335
66;JUAN;  170;3,335
67;MARIO;  169;3,315
68;NICOLAS;  167;3,276
69;BORJA;  166;3,256
70;GONZALO;  165;3,236
71;AINGERU;  160;3,138
72;JOKIN;  153;3,001
73;UGAITZ;  150;2,942
74;OIHAN;  149;2,923
75;MARCOS;  146;2,864
76;ARATZ;  145;2,844
77;IÑAKI;  144;2,825
78;AITZOL;  138;2,707
79;JOEL;  137;2,687
80;LUCAS;  131;2,57
81;TELMO;  125;2,452
82;LUKEN;  124;2,432
83;JAIME;  121;2,373
84;KOLDO;  121;2,373
85;MIGUEL;  120;2,354
86;GABRIEL;  116;2,275
87;URTZI;  110;2,158
88;AMETS;  109;2,138
89;PERU;  108;2,118
90;SENDOA;  107;2,099
91;KERMAN;  102;2,001
92;LIHER;  101;1,981
93;AARON;  100;1,962
94;HARITZ;  95;1,863
95;IAN;  95;1,863
96;AGER;  91;1,785
97;CHRISTIAN;  91;1,785
