Nº;Nombre;Total;Por mil (‰)
1;ANE;  1.608;33,669
2;IRATI;  1.250;26,173
3;LEIRE;  1.169;24,477
4;UXUE;  1.113;23,305
5;IZARO;  989;20,708
6;JUNE;  971;20,331
7;NEREA;  942;19,724
8;PAULA;  940;19,682
9;NAROA;  898;18,803
10;LUCIA;  843;17,651
11;NAIA;  841;17,609
12;MARIA;  822;17,211
13;NAHIA;  774;16,206
14;MAIALEN;  746;15,62
15;MAIDER;  745;15,599
16;HAIZEA;  723;15,139
17;AINHOA;  628;13,149
18;ANDREA;  531;11,118
19;SARA;  499;10,448
20;LAURA;  477;9,988
21;OIHANE;  476;9,967
22;EIDER;  472;9,883
23;OLATZ;  470;9,841
24;IRENE;  453;9,485
25;GARAZI;  449;9,401
26;IRAIA;  446;9,339
27;ALBA;  427;8,941
28;JONE;  422;8,836
29;AMAIA;  382;7,998
30;AINARA;  376;7,873
31;AINHIZE;  351;7,349
32;NAIARA;  348;7,287
33;NORA;  336;7,035
34;AROA;  316;6,617
35;ALAZNE;  311;6,512
36;MAITANE;  311;6,512
37;IRUNE;  309;6,47
38;AITANA;  305;6,386
39;ANNE;  282;5,905
40;ENARA;  275;5,758
41;SOFIA;  270;5,653
42;JANIRE;  262;5,486
43;NAGORE;  261;5,465
44;CLAUDIA;  247;5,172
45;IRAIDE;  238;4,983
46;ARIANE;  234;4,9
47;OLAIA;  222;4,648
48;INES;  208;4,355
49;ARRATE;  204;4,271
50;MADDI;  203;4,251
51;MALEN;  203;4,251
52;ADRIANA;  201;4,209
53;MARTA;  196;4,104
54;SAIOA;  191;3,999
55;MARINA;  190;3,978
56;JULENE;  188;3,936
57;ENERITZ;  184;3,853
58;NATALIA;  183;3,832
59;MIREN;  177;3,706
60;MAITE;  166;3,476
61;IRATXE;  165;3,455
62;NOA;  163;3,413
63;SANDRA;  159;3,329
64;YAIZA;  159;3,329
65;ALAITZ;  157;3,287
66;ANA;  153;3,204
67;ELENE;  151;3,162
68;PAULE;  148;3,099
69;LAIA;  146;3,057
70;CRISTINA;  144;3,015
71;PATRICIA;  143;2,994
72;DANIELA;  136;2,848
73;ALEJANDRA;  134;2,806
74;ITXASO;  134;2,806
75;IXONE;  134;2,806
76;NAHIKARI;  134;2,806
77;JOANE;  129;2,701
78;LIBE;  128;2,68
79;ELENA;  127;2,659
80;LOREA;  127;2,659
81;AIALA;  126;2,638
82;MARTINA;  126;2,638
83;ESTIBALIZ;  121;2,534
84;UDANE;  119;2,492
85;ZURIÑE;  116;2,429
86;CARLA;  114;2,387
87;ERIKA;  113;2,366
88;MAREN;  112;2,345
89;ANGELA;  110;2,303
90;IRIA;  110;2,303
91;SHEILA;  110;2,303
92;NEKANE;  109;2,282
93;LORENA;  106;2,219
94;ITZIAR;  103;2,157
95;ARAITZ;  100;2,094
96;MIREIA;  96;2,01
97;CARLOTA;  95;1,989
98;AITZIBER;  88;1,843
99;CARMEN;  87;1,822
100;AIORA;  82;1,717
101;ALAIA;  82;1,717
102;LEYRE;  82;1,717
103;GABRIELA;  81;1,696
104;OIHANA;  78;1,633
105;EVA;  77;1,612
106;ITSASO;  76;1,591
107;IZASKUN;  76;1,591
108;BEGOÑA;  75;1,57
109;TERESA;  75;1,57
110;LAIDA;  73;1,529
111;JOANA;  72;1,508
112;ZIORTZA;  72;1,508
113;MARA;  71;1,487
114;ALICIA;  68;1,424
115;EDURNE;  68;1,424
116;IZAR;  67;1,403
117;KATALIN;  66;1,382
118;ELAIA;  65;1,361
119;JULIA;  65;1,361
120;AINTZANE;  64;1,34
121;BEATRIZ;  64;1,34
122;NADIA;  64;1,34
123;RAQUEL;  63;1,319
124;GOIZANE;  62;1,298
125;KATTALIN;  62;1,298
126;NURIA;  62;1,298
127;ISABEL;  61;1,277
128;AINIZE;  60;1,256
129;ITSASNE;  60;1,256
130;IBONE;  59;1,235
131;SARAI;  59;1,235
132;MONICA;  58;1,214
133;LEXURI;  57;1,193
134;EUKENE;  56;1,173
135;IRANTZU;  56;1,173
136;MIRIAM;  56;1,173
137;IDOIA;  55;1,152
138;ZAIRA;  55;1,152
139;JUDITH;  54;1,131
140;SARAY;  54;1,131
141;EMMA;  53;1,11
142;LARA;  53;1,11
143;SILVIA;  53;1,11
144;ITXASNE;  51;1,068
145;MIRARI;  51;1,068
146;ANDERE;  50;1,047
147;MARIANA;  50;1,047
148;LUR;  49;1,026
149;NOELIA;  49;1,026
150;EUNATE;  48;1,005
151;GORANE;  48;1,005
152;AIDA;  46;0,963
153;AMETS;  46;0,963
154;CELIA;  46;0,963
155;LARRAITZ;  46;0,963
156;NIKOLE;  45;0,942
157;ZALOA;  45;0,942
158;PAOLA;  44;0,921
159;LIDIA;  43;0,9
160;ONINTZE;  43;0,9
161;REBECA;  43;0,9
162;TANIA;  43;0,9
163;JENNIFER;  42;0,879
164;VALERIA;  42;0,879
165;ALAINE;  40;0,838
166;VICTORIA;  40;0,838
167;LIERNI;  39;0,817
168;MATXALEN;  39;0,817
169;VERONICA;  39;0,817
170;AMAIUR;  37;0,775
171;JARE;  37;0,775
172;JOSUNE;  36;0,754
173;SARE;  36;0,754
174;ELISA;  35;0,733
175;GOIURI;  35;0,733
176;HAIZENE;  35;0,733
177;IZADI;  35;0,733
178;NAYRA;  35;0,733
179;CAROLINA;  34;0,712
180;CLARA;  34;0,712
181;HELENA;  34;0,712
182;LEIZURI;  34;0,712
183;ANE MIREN;  33;0,691
184;CANDELA;  33;0,691
185;ELSA;  33;0,691
186;NOEMI;  33;0,691
187;HENAR;  32;0,67
188;ILARGI;  32;0,67
189;JESSICA;  32;0,67
190;JUGATX;  32;0,67
191;ROCIO;  32;0,67
192;AMETSA;  31;0,649
193;ARENE;  31;0,649
194;DESIREE;  31;0,649
195;MIREN AMAIUR;  31;0,649
196;NILE;  31;0,649
197;SAMARA;  31;0,649
198;LIDE;  30;0,628
199;SALMA;  30;0,628
200;DIANA;  29;0,607
201;EZTIZEN;  29;0,607
202;RUTH;  29;0,607
203;ARIADNA;  28;0,586
204;MANUELA;  28;0,586
205;SONIA;  28;0,586
206;SORAYA;  28;0,586
207;VIRGINIA;  28;0,586
208;ALIZE;  27;0,565
209;ARAIA;  27;0,565
210;ARIADNE;  27;0,565
211;ESTHER;  27;0,565
212;IARA;  27;0,565
213;ICIAR;  27;0,565
214;JASONE;  27;0,565
215;KARLA;  27;0,565
216;MAIA;  27;0,565
217;SELENE;  27;0,565
218;YARA;  27;0,565
219;ZIHARA;  27;0,565
220;DEIENE;  26;0,544
221;LYDIA;  26;0,544
222;ARIANNE;  25;0,523
223;HELENE;  25;0,523
224;MADDALEN;  25;0,523
225;ZOE;  25;0,523
226;AISHA;  24;0,503
227;ARANTZA;  24;0,503
228;CYNTHIA;  24;0,503
229;IKERNE;  24;0,503
230;LOLA;  24;0,503
231;LORE;  24;0,503
232;ANA MARIA;  23;0,482
233;BLANCA;  23;0,482
234;GAROA;  23;0,482
235;GISELA;  23;0,482
236;IRIS;  23;0,482
237;ISMENE;  23;0,482
238;JIMENA;  23;0,482
239;MAGALI;  23;0,482
240;MARENE;  23;0,482
241;MARIA CARMEN;  23;0,482
242;ALEXANDRA;  22;0,461
243;ALEXIA;  22;0,461
244;EKIÑE;  22;0,461
245;LUNA;  22;0,461
246;SARAH;  22;0,461
247;UZURI;  22;0,461
248;YASMIN;  22;0,461
249;AMARA;  21;0,44
250;ARAI;  21;0,44
251;BIDANE;  21;0,44
252;GARBIÑE;  21;0,44
253;LAIENE;  21;0,44
254;MICHELLE;  21;0,44
255;AYELEN;  20;0,419
256;FATIMA;  20;0,419
257;IRADI;  20;0,419
258;MIKELE;  20;0,419
259;OLIVIA;  20;0,419
260;JAIONE;  19;0,398
261;NICOLE;  19;0,398
262;ONINTZA;  19;0,398
263;AIARA;  18;0,377
264;CECILIA;  18;0,377
265;EUGENIA;  18;0,377
266;GOIATZ;  18;0,377
267;IGONE;  18;0,377
268;INGE;  18;0,377
269;IRANZU;  18;0,377
270;MALENA;  18;0,377
271;MAR;  18;0,377
272;MENCIA;  18;0,377
273;MIREYA;  18;0,377
274;ONEKA;  18;0,377
275;AYA;  17;0,356
276;CATALINA;  17;0,356
277;IONE;  17;0,356
278;NAIMA;  17;0,356
279;SUSANA;  17;0,356
280;ALMIKE;  16;0,335
281;AMAYA;  16;0,335
282;ARGIA;  16;0,335
283;ARRIETA;  16;0,335
284;DESIRE;  16;0,335
285;ESTELA;  16;0,335
286;JUDIT;  16;0,335
287;LEIZE;  16;0,335
288;NERE;  16;0,335
289;RAKEL;  16;0,335
290;AIZANE;  15;0,314
291;BERTA;  15;0,314
292;HEGOA;  15;0,314
293;JUNCAL;  15;0,314
294;NAIRA;  15;0,314
295;NAZARET;  15;0,314
296;YASMINA;  15;0,314
297;BIDATZ;  14;0,293
298;ELIZABETH;  14;0,293
299;GADEA;  14;0,293
