Nº;Nombre;Total;Por mil (‰)
1;IKER;  1.293;37,798
2;UNAI;  1.230;35,957
3;JON;  1.195;34,933
4;ANDER;  1.086;31,747
5;JULEN;  1.017;29,73
6;MIKEL;  1.001;29,262
7;OIER;  901;26,339
8;ENEKO;  872;25,491
9;AIMAR;  839;24,526
10;MARKEL;  809;23,649
11;AITOR;  748;21,866
12;ASIER;  745;21,779
13;BEÑAT;  610;17,832
14;XABIER;  606;17,715
15;IBAI;  601;17,569
16;UNAX;  557;16,283
17;IÑIGO;  443;12,95
18;GORKA;  423;12,366
19;OIHAN;  363;10,612
20;DANEL;  344;10,056
21;MANEX;  342;9,998
22;URKO;  340;9,939
23;ALEX;  336;9,822
24;ARITZ;  331;9,676
25;PABLO;  330;9,647
26;JOSU;  329;9,618
27;MARTIN;  280;8,185
28;HODEI;  273;7,981
29;LANDER;  269;7,864
30;IÑAKI;  261;7,63
31;ANDONI;  256;7,484
32;EKAIN;  254;7,425
33;ANER;  240;7,016
34;TELMO;  233;6,811
35;JOKIN;  225;6,577
36;ALAIN;  224;6,548
37;IMANOL;  220;6,431
38;ADRIAN;  218;6,373
39;DANIEL;  186;5,437
40;JOSEBA;  183;5,35
41;EKAITZ;  182;5,32
42;EÑAUT;  180;5,262
43;GAIZKA;  178;5,203
44;DAVID;  170;4,97
45;HARITZ;  170;4,97
46;IGOR;  166;4,853
47;HUGO;  165;4,823
48;ENAITZ;  163;4,765
49;ERIK;  159;4,648
50;ARATZ;  155;4,531
51;JAVIER;  150;4,385
52;ALVARO;  148;4,326
53;PERU;  148;4,326
54;IVAN;  145;4,239
55;ALEJANDRO;  144;4,21
56;XUBAN;  138;4,034
57;PAUL;  137;4,005
58;XABAT;  130;3,8
59;AMETS;  124;3,625
60;JUAN;  124;3,625
61;IBON;  122;3,566
62;EKHI;  119;3,479
63;DIEGO;  116;3,391
64;ENDIKA;  112;3,274
65;SERGIO;  111;3,245
66;ADUR;  107;3,128
67;EGOITZ;  106;3,099
68;LUKEN;  106;3,099
69;JON ANDER;  104;3,04
70;IRAITZ;  101;2,953
71;JOANES;  96;2,806
72;IORITZ;  92;2,689
73;RUBEN;  92;2,689
74;URTZI;  88;2,572
75;NICOLAS;  86;2,514
76;ALEXANDER;  81;2,368
77;ARKAITZ;  81;2,368
78;JAKES;  81;2,368
79;ODEI;  79;2,309
80;MARIO;  76;2,222
81;OINATZ;  76;2,222
82;KOLDO;  75;2,192
83;MATTIN;  73;2,134
84;UGAITZ;  72;2,105
85;MARCOS;  70;2,046
86;YERAY;  69;2,017
87;IGNACIO;  68;1,988
88;AITZOL;  66;1,929
89;ANARTZ;  66;1,929
90;JOEL;  64;1,871
91;KEPA;  64;1,871
92;LIHER;  61;1,783
93;ION;  58;1,696
94;JORGE;  58;1,696
95;AARON;  56;1,637
96;BORJA;  54;1,579
97;LUCAS;  54;1,579
98;GONZALO;  53;1,549
99;KERMAN;  53;1,549
100;MIGUEL;  52;1,52
101;EKI;  51;1,491
102;GALDER;  50;1,462
103;IBAN;  48;1,403
104;OSCAR;  48;1,403
105;AIERT;  47;1,374
106;JORITZ;  47;1,374
107;KEVIN;  47;1,374
108;LUKA;  46;1,345
109;RAUL;  46;1,345
110;IAN;  45;1,315
111;GARIKOITZ;  44;1,286
112;HEGOI;  44;1,286
113;JURGI;  44;1,286
114;KAIET;  44;1,286
115;GUILLERMO;  43;1,257
116;JAIME;  43;1,257
117;MARCO;  43;1,257
118;HAITZ;  42;1,228
119;IZAN;  42;1,228
120;ANGEL;  41;1,199
121;CARLOS;  41;1,199
122;GABRIEL;  41;1,199
123;KIMETZ;  41;1,199
124;LUIS;  41;1,199
125;MARTXEL;  41;1,199
126;YERAI;  41;1,199
127;ALBERTO;  40;1,169
128;ADEI;  39;1,14
129;AIUR;  38;1,111
130;IOSU;  38;1,111
131;CHRISTIAN;  36;1,052
132;PEIO;  36;1,052
133;AXEL;  35;1,023
134;INHAR;  35;1,023
135;NIKOLAS;  34;0,994
136;DENIS;  33;0,965
137;GARI;  33;0,965
138;AURITZ;  32;0,935
139;LIER;  32;0,935
140;LUKAS;  32;0,935
141;ZUHAITZ;  32;0,935
142;PATXI;  31;0,906
143;OMAR;  30;0,877
144;PEDRO;  29;0,848
145;SAMUEL;  29;0,848
146;XANET;  29;0,848
147;XIKER;  29;0,848
148;ADAM;  28;0,819
149;MATEO;  28;0,819
150;ERITZ;  27;0,789
151;HARKAITZ;  27;0,789
152;JAGOBA;  27;0,789
153;MANUEL;  27;0,789
154;NESTOR;  27;0,789
155;AXIER;  26;0,76
156;ERIC;  26;0,76
157;ISMAEL;  26;0,76
158;TOMAS;  26;0,76
159;OXEL;  25;0,731
160;CRISTIAN;  24;0,702
161;EDER;  24;0,702
162;FERNANDO;  24;0,702
163;PELLO;  24;0,702
164;AINGERU;  23;0,672
165;ANDRES;  23;0,672
166;EUKEN;  23;0,672
167;FRANCISCO JAVIER;  23;0,672
168;INAR;  23;0,672
169;SANTIAGO;  23;0,672
170;JONATHAN;  22;0,643
171;EKAI;  21;0,614
172;HARRI;  21;0,614
173;JESUS;  21;0,614
174;TXOMIN;  21;0,614
175;ALAN;  20;0,585
176;ANTTON;  20;0,585
177;HARRIET;  20;0,585
178;JANITZ;  20;0,585
179;BITTOR;  19;0,555
180;HECTOR;  19;0,555
181;IAGO;  19;0,555
182;OROITZ;  19;0,555
183;YAGO;  19;0,555
184;GANIX;  18;0,526
185;SUHAR;  18;0,526
186;AMETZ;  17;0,497
187;BRUNO;  17;0,497
188;EDUARDO;  17;0,497
189;ERLANTZ;  17;0,497
190;LUCA;  17;0,497
191;MANU;  17;0,497
192;PAULO;  17;0,497
193;VICTOR;  17;0,497
194;EGOI;  16;0,468
195;ELUR;  16;0,468
196;ENETZ;  16;0,468
197;JOSE;  16;0,468
198;JOSE MARIA;  16;0,468
199;RAFAEL;  16;0,468
200;ANTONIO;  15;0,438
201;ETHAN;  15;0,438
202;HAIMAR;  15;0,438
203;JOAN;  15;0,438
204;MOHAMED;  15;0,438
205;PAU;  15;0,438
206;RAMON;  15;0,438
207;RODRIGO;  15;0,438
208;XABI;  15;0,438
209;ANJE;  14;0,409
210;JON MIKEL;  14;0,409
211;LUR;  14;0,409
212;OSKITZ;  14;0,409
213;ALAI;  13;0,38
214;ANDOITZ;  13;0,38
215;BRIAN;  13;0,38
216;GERMAN;  13;0,38
217;IZEI;  13;0,38
218;MIGUEL ANGEL;  13;0,38
219;UR;  13;0,38
220;ANTXON;  12;0,351
221;BRAIS;  12;0,351
222;ELIAS;  12;0,351
223;LUAR;  12;0,351
224;MAURO;  12;0,351
225;ROMAN;  12;0,351
226;URKI;  12;0,351
227;ABRAHAM;  11;0,322
228;BRYAN;  11;0,322
229;ENRIQUE;  11;0,322
230;FRANCISCO;  11;0,322
231;ISRAEL;  11;0,322
232;JONATAN;  11;0,322
233;JOSE LUIS;  11;0,322
234;LIAM;  11;0,322
235;LIZAR;  11;0,322
236;MAREN;  11;0,322
237;MARKO;  11;0,322
238;OIHER;  11;0,322
239;RAYAN;  11;0,322
240;ABEL;  10;0,292
241;GEXAN;  10;0,292
242;IGOTZ;  10;0,292
243;IRAI;  10;0,292
244;MARC;  10;0,292
245;MARTZEL;  10;0,292
246;ROBERTO;  10;0,292
247;SEBASTIAN;  10;0,292
248;TASIO;  10;0,292
249;TEO;  10;0,292
250;UHAITZ;  10;0,292
251;ANTON;  9;0,263
252;EDORTA;  9;0,263
253;FELIX;  9;0,263
254;ITOITZ;  9;0,263
255;JOSE ANTONIO;  9;0,263
256;JULIAN;  9;0,263
257;KAI;  9;0,263
258;LEO;  9;0,263
259;MARK;  9;0,263
260;OÑATZ;  9;0,263
261;RICARDO;  9;0,263
262;ROKE;  9;0,263
263;SIMON;  9;0,263
264;YOEL;  9;0,263
265;AIEKO;  8;0,234
266;ALEN;  8;0,234
267;AXULAR;  8;0,234
268;AYOUB;  8;0,234
269;EDGAR;  8;0,234
270;ELEDER;  8;0,234
271;FERMIN;  8;0,234
272;ION ANDER;  8;0,234
273;JAIRO;  8;0,234
274;JOHN;  8;0,234
275;MARKOS;  8;0,234
276;ORTZI;  8;0,234
277;XANTI;  8;0,234
278;YOUSSEF;  8;0,234
279;AETZ;  7;0,205
280;ALI;  7;0,205
281;AMAIUR;  7;0,205
282;ANAS;  7;0,205
283;ARAN;  7;0,205
284;BINGEN;  7;0,205
285;ELOY;  7;0,205
286;ERLAITZ;  7;0,205
287;GAEL;  7;0,205
288;HASIER;  7;0,205
289;JOSE MIGUEL;  7;0,205
290;JULIO;  7;0,205
291;KEMEN;  7;0,205
292;NAIM;  7;0,205
293;NOAH;  7;0,205
294;SAUL;  7;0,205
295;XUHAR;  7;0,205
296;YON;  7;0,205
297;YOUNES;  7;0,205
298;YURI;  7;0,205
299;ZIGOR;  7;0,205
300;ADAY;  6;0,175
301;AGER;  6;0,175
302;ALFONSO;  6;0,175
303;ANGE;  6;0,175
304;ANUK;  6;0,175
305;DARIO;  6;0,175
306;DYLAN;  6;0,175
307;ENAI;  6;0,175
308;ENAUT;  6;0,175
309;ETXAHUN;  6;0,175
310;GOAR;  6;0,175
311;HUR;  6;0,175
312;ISAAC;  6;0,175
313;JOAQUIN;  6;0,175
314;JOSE IGNACIO;  6;0,175
315;JUAN MANUEL;  6;0,175
316;KRISTIAN;  6;0,175
