Nº;Nombre;Total;Por mil (‰)
1;MARIA;  720;24,357
2;LUCIA;  676;22,869
3;PAULA;  662;22,395
4;LEYRE;  569;19,249
5;IRATI;  566;19,147
6;NEREA;  540;18,268
7;ANDREA;  499;16,881
8;AINHOA;  470;15,9
9;AMAIA;  463;15,663
10;NAHIA;  450;15,223
11;LEIRE;  442;14,953
12;SARA;  432;14,614
13;ANE;  431;14,581
14;IRENE;  403;13,633
15;LAURA;  384;12,991
16;MARTA;  374;12,652
17;UXUE;  345;11,671
18;NAROA;  341;11,536
19;SAIOA;  328;11,096
20;NAIARA;  307;10,386
21;AINARA;  305;10,318
22;AITANA;  301;10,183
23;ANA;  293;9,912
24;ALBA;  283;9,574
25;ADRIANA;  269;9,1
26;MAIDER;  256;8,66
27;IRUNE;  245;8,288
28;CLAUDIA;  239;8,085
29;AROA;  226;7,645
30;CARLA;  225;7,612
31;JUNE;  222;7,51
32;ANNE;  214;7,24
33;MARINA;  211;7,138
34;OIHANE;  211;7,138
35;MAIALEN;  201;6,8
36;SOFIA;  200;6,766
37;ELENA;  189;6,394
38;HAIZEA;  189;6,394
39;CRISTINA;  181;6,123
40;EIDER;  180;6,089
41;ANGELA;  179;6,055
42;NATALIA;  173;5,853
43;PATRICIA;  163;5,514
44;MAITE;  159;5,379
45;CARMEN;  154;5,21
46;JULIA;  154;5,21
47;NORA;  150;5,074
48;SILVIA;  148;5,007
49;OLAIA;  146;4,939
50;LORENA;  140;4,736
51;SANDRA;  139;4,702
52;IRANZU;  133;4,499
53;IRAIA;  131;4,432
54;AMAYA;  127;4,296
55;RAQUEL;  122;4,127
56;DANIELA;  121;4,093
57;MIREN;  118;3,992
58;ALEJANDRA;  117;3,958
59;ISABEL;  115;3,89
60;INES;  113;3,823
61;LOREA;  109;3,687
62;NAIA;  109;3,687
63;MAITANE;  108;3,654
64;MIRIAM;  108;3,654
65;BEATRIZ;  104;3,518
66;CARLOTA;  102;3,451
67;EDURNE;  100;3,383
68;MADDI;  98;3,315
69;ALICIA;  93;3,146
70;IRATXE;  88;2,977
71;NOA;  87;2,943
72;CLARA;  85;2,876
73;JONE;  85;2,876
74;NURIA;  84;2,842
75;ITZIAR;  83;2,808
76;ERIKA;  82;2,774
77;GARAZI;  80;2,706
78;IZARO;  79;2,673
79;CELIA;  78;2,639
80;MARTINA;  76;2,571
81;IDOIA;  74;2,503
82;TERESA;  72;2,436
83;EVA;  71;2,402
84;BLANCA;  70;2,368
85;NOELIA;  70;2,368
86;NEKANE;  68;2,3
87;MIREIA;  67;2,267
88;CANDELA;  66;2,233
89;HELENA;  64;2,165
90;SARAY;  63;2,131
91;VALERIA;  60;2,03
92;AITZIBER;  58;1,962
93;CAROLINA;  55;1,861
94;LIDIA;  55;1,861
95;SHEILA;  53;1,793
96;ZURIÑE;  52;1,759
97;ENARA;  51;1,725
98;ELISA;  50;1,691
99;IRANTZU;  50;1,691
100;ESTHER;  49;1,658
101;NAGORE;  49;1,658
102;OLATZ;  49;1,658
103;ALAITZ;  47;1,59
104;IZASKUN;  47;1,59
105;REBECA;  47;1,59
106;ROCIO;  46;1,556
107;VICTORIA;  46;1,556
108;JANIRE;  45;1,522
109;JUDITH;  45;1,522
110;LARA;  45;1,522
111;OIHANA;  45;1,522
112;YAIZA;  45;1,522
113;ALAZNE;  44;1,488
114;DIANA;  44;1,488
115;MONICA;  43;1,455
116;SONIA;  43;1,455
117;AYA;  42;1,421
118;JIMENA;  42;1,421
119;NADIA;  42;1,421
120;ZAIRA;  42;1,421
121;GABRIELA;  41;1,387
122;ITXASO;  41;1,387
123;JAIONE;  41;1,387
124;SORAYA;  41;1,387
125;VERONICA;  41;1,387
126;ELSA;  40;1,353
127;IRACHE;  40;1,353
128;ITSASO;  39;1,319
129;ARIADNA;  38;1,286
130;LOLA;  36;1,218
131;ESTIBALIZ;  35;1,184
132;AMAIUR;  34;1,15
133;CECILIA;  34;1,15
134;IRIA;  34;1,15
135;MALENA;  34;1,15
136;PAOLA;  34;1,15
137;AIORA;  33;1,116
138;EMMA;  33;1,116
139;IRIS;  33;1,116
140;MARA;  33;1,116
141;NOEMI;  33;1,116
142;SALMA;  33;1,116
143;AFRICA;  32;1,083
144;ALMUDENA;  32;1,083
145;BELEN;  32;1,083
146;OSKIA;  31;1,049
147;ARIANE;  30;1,015
148;EKIÑE;  30;1,015
149;TANIA;  30;1,015
150;ALAIA;  29;0,981
151;ANA MARIA;  29;0,981
152;JOSUNE;  29;0,981
153;LUNA;  29;0,981
154;AINTZANE;  28;0,947
155;ARRATE;  28;0,947
156;EUNATE;  28;0,947
157;IONE;  28;0,947
158;LYDIA;  27;0,913
159;JOANA;  25;0,846
