Nº;Nombre;Total;Por mil (‰)
1;AIMAR;  602;19,901
2;IKER;  601;19,868
3;UNAI;  521;17,224
4;JAVIER;  515;17,025
5;MIKEL;  510;16,86
6;ASIER;  465;15,372
7;PABLO;  464;15,339
8;HUGO;  462;15,273
9;OIER;  445;14,711
10;MARTIN;  444;14,678
11;IBAI;  437;14,447
12;JULEN;  413;13,653
13;DANIEL;  400;13,224
14;ADRIAN;  392;12,959
15;ANDER;  369;12,199
16;XABIER;  358;11,835
17;OIHAN;  348;11,505
18;LUCAS;  341;11,273
19;ENEKO;  322;10,645
20;JON;  321;10,612
21;MARCOS;  314;10,381
22;IÑIGO;  312;10,314
23;MARKEL;  310;10,248
24;MATEO;  303;10,017
25;ALVARO;  296;9,785
26;IZAN;  292;9,653
27;ALEJANDRO;  291;9,62
28;UNAX;  290;9,587
29;AITOR;  287;9,488
30;MARIO;  286;9,455
31;DAVID;  262;8,661
32;NICOLAS;  249;8,232
33;ALEX;  229;7,57
34;DIEGO;  228;7,537
35;MIGUEL;  227;7,504
36;LEO;  201;6,645
37;ALAIN;  196;6,48
38;ARITZ;  157;5,19
39;BEÑAT;  151;4,992
40;JUAN;  141;4,661
41;ADAM;  136;4,496
42;HODEI;  134;4,43
43;MARCO;  134;4,43
44;SERGIO;  132;4,364
45;ERIK;  125;4,132
46;AMETS;  124;4,099
47;GONZALO;  123;4,066
48;ADUR;  118;3,901
49;EDER;  113;3,736
50;SAMUEL;  113;3,736
51;ENZO;  110;3,636
52;IVAN;  106;3,504
53;CARLOS;  99;3,273
54;ION;  99;3,273
55;ADEI;  98;3,24
56;JORGE;  98;3,24
57;JOEL;  97;3,207
58;AARON;  95;3,141
59;HECTOR;  94;3,108
60;ANER;  91;3,008
61;ANGEL;  91;3,008
62;GABRIEL;  91;3,008
63;IÑAKI;  91;3,008
64;TELMO;  90;2,975
65;IAN;  87;2,876
66;EKAITZ;  85;2,81
67;RAYAN;  85;2,81
68;GUILLERMO;  84;2,777
69;BRUNO;  83;2,744
70;LUCA;  80;2,645
71;IRAI;  79;2,612
72;MOHAMED;  79;2,612
73;MARC;  76;2,512
74;GORKA;  74;2,446
75;IZEI;  74;2,446
76;URKO;  74;2,446
77;JESUS;  73;2,413
78;VICTOR;  73;2,413
79;HEGOI;  72;2,38
80;OINATZ;  72;2,38
81;IGNACIO;  71;2,347
82;JAIME;  67;2,215
83;IMANOL;  66;2,182
84;ISMAEL;  65;2,149
85;OLIVER;  65;2,149
86;YERAY;  65;2,149
87;AIUR;  64;2,116
88;LUIS;  64;2,116
89;SANTIAGO;  64;2,116
90;ODEI;  63;2,083
91;ANDRES;  62;2,05
92;ERIC;  62;2,05
93;IBON;  62;2,05
94;RUBEN;  62;2,05
95;DYLAN;  61;2,017
96;THIAGO;  61;2,017
97;ENAITZ;  60;1,984
98;FERMIN;  60;1,984
99;LUKA;  60;1,984
100;EGOI;  59;1,95
101;MANUEL;  57;1,884
102;GAEL;  56;1,851
103;ISAAC;  56;1,851
104;RAUL;  56;1,851
105;ALBERTO;  55;1,818
106;EKAI;  54;1,785
107;ARATZ;  53;1,752
108;DARIO;  53;1,752
109;GAIZKA;  53;1,752
110;YAGO;  52;1,719
111;YOUSSEF;  52;1,719
112;ANDONI;  51;1,686
113;LUKEN;  51;1,686
114;OMAR;  51;1,686
115;RODRIGO;  51;1,686
116;MATIAS;  50;1,653
117;AMIR;  49;1,62
118;ANAS;  48;1,587
119;CRISTIAN;  47;1,554
120;PEDRO;  47;1,554
121;TASIO;  46;1,521
122;IMRAN;  44;1,455
123;SAUL;  44;1,455
124;MANEX;  43;1,422
125;OSCAR;  43;1,422
