Nº;Nombre;Total;Por mil (‰)
1;UXUE;  361;27,564
2;ANE;  327;24,968
3;IRATI;  307;23,44
4;LEIRE;  288;21,99
5;LUCIA;  282;21,532
6;PAULA;  270;20,615
7;NEREA;  236;18,019
8;MARIA;  235;17,943
9;NAHIA;  235;17,943
10;IZARO;  210;16,034
11;NAROA;  210;16,034
12;MAIALEN;  191;14,583
13;HAIZEA;  189;14,431
14;JUNE;  185;14,125
15;SARA;  181;13,82
16;ANDREA;  175;13,362
17;MAIDER;  170;12,98
18;AINHOA;  164;12,522
19;ALBA;  139;10,613
20;EIDER;  136;10,384
21;AMAIA;  123;9,391
22;AROA;  119;9,086
23;LAURA;  119;9,086
24;NAIA;  119;9,086
25;NAIARA;  111;8,475
26;OIHANE;  111;8,475
27;IRENE;  103;7,864
28;ALAZNE;  98;7,483
29;NORA;  95;7,254
30;MAITANE;  94;7,177
31;AITANA;  92;7,025
32;IRUNE;  90;6,872
33;GARAZI;  87;6,643
34;SAIOA;  86;6,566
35;OLATZ;  84;6,414
36;OLAIA;  79;6,032
37;ANNE;  77;5,879
38;AINARA;  76;5,803
39;IRATXE;  76;5,803
40;JONE;  75;5,727
41;CLAUDIA;  74;5,65
42;IRAIA;  73;5,574
43;ZURIÑE;  72;5,497
44;IXONE;  65;4,963
45;MARINA;  65;4,963
46;MIREN;  65;4,963
47;NAGORE;  64;4,887
48;JANIRE;  62;4,734
49;MARTA;  62;4,734
50;AINHIZE;  60;4,581
51;AIALA;  59;4,505
52;CARLA;  57;4,352
53;SANDRA;  56;4,276
54;MADDI;  55;4,199
55;YAIZA;  55;4,199
56;ENARA;  54;4,123
57;LORENA;  53;4,047
58;NOA;  50;3,818
59;ESTIBALIZ;  49;3,741
60;ADRIANA;  48;3,665
61;ALAITZ;  47;3,589
62;MAITE;  46;3,512
63;LEYRE;  45;3,436
64;ELENA;  44;3,36
65;PATRICIA;  44;3,36
66;ANA;  42;3,207
67;SOFIA;  42;3,207
68;EDURNE;  41;3,13
69;LOREA;  41;3,13
70;MIRIAM;  41;3,13
71;CARLOTA;  39;2,978
72;LAIA;  39;2,978
73;MIREIA;  38;2,901
74;NATALIA;  38;2,901
75;SHEILA;  37;2,825
76;AITZIBER;  36;2,749
77;ERIKA;  36;2,749
78;ITZIAR;  35;2,672
79;IZASKUN;  35;2,672
80;NAHIKARI;  35;2,672
81;SILVIA;  35;2,672
82;IRIA;  34;2,596
83;ANGELA;  33;2,52
84;ENERITZ;  33;2,52
85;ALEJANDRA;  32;2,443
86;ARRATE;  32;2,443
87;DANIELA;  32;2,443
88;ARIANE;  31;2,367
89;INES;  31;2,367
90;MALEN;  31;2,367
91;IRAIDE;  30;2,291
92;MARTINA;  30;2,291
93;ITSASO;  28;2,138
94;NEKANE;  28;2,138
95;NURIA;  28;2,138
96;BLANCA;  27;2,062
97;CRISTINA;  27;2,062
98;ALAIA;  26;1,985
99;IDOIA;  26;1,985
100;JAIONE;  26;1,985
101;TERESA;  26;1,985
102;UDANE;  26;1,985
103;ANIA;  25;1,909
104;CARMEN;  25;1,909
105;ITXASO;  25;1,909
106;RAQUEL;  25;1,909
107;AINTZANE;  24;1,832
108;BEATRIZ;  24;1,832
109;CLARA;  23;1,756
110;JULENE;  23;1,756
111;MARA;  23;1,756
112;NADIA;  23;1,756
113;SALMA;  23;1,756
114;YANIRE;  23;1,756
115;EVA;  22;1,68
116;ZAIRA;  22;1,68
117;ALICIA;  21;1,603
118;GABRIELA;  21;1,603
119;LIERNI;  21;1,603
120;OIHANA;  21;1,603
121;SARAY;  21;1,603
122;ARIADNA;  20;1,527
123;GOIZANE;  20;1,527
124;MAREN;  20;1,527
125;EMMA;  19;1,451
126;JUDITH;  19;1,451
127;MIRARI;  19;1,451
128;TANIA;  19;1,451
129;JULIA;  18;1,374
130;LARA;  18;1,374
131;CAROLINA;  17;1,298
132;CELIA;  17;1,298
133;LIDIA;  17;1,298
134;NOELIA;  17;1,298
135;ZIORTZA;  17;1,298
136;ELAIA;  16;1,222
137;JOANE;  16;1,222
138;CECILIA;  15;1,145
139;ELSA;  15;1,145
140;LOLA;  15;1,145
141;REBECA;  15;1,145
142;ROCIO;  15;1,145
143;RUTH;  15;1,145
144;AIARA;  14;1,069
145;AMAIUR;  14;1,069
146;IARA;  14;1,069
147;IRANTZU;  14;1,069
148;LUNA;  14;1,069
149;VICTORIA;  14;1,069
150;AIDA;  13;0,993
151;ANDERE;  13;0,993
152;EUKENE;  13;0,993
153;ITSASNE;  13;0,993
154;LAIDA;  13;0,993
155;NOEMI;  13;0,993
156;YARA;  13;0,993
157;AIORA;  12;0,916
158;AYA;  12;0,916
159;AYALA;  12;0,916
160;EKIÑE;  12;0,916
161;FATIMA;  12;0,916
162;HENAR;  12;0,916
163;IMAN;  12;0,916
164;JARE;  12;0,916
165;JOSUNE;  12;0,916
166;KARLA;  12;0,916
167;MALENA;  12;0,916
168;NAYRA;  12;0,916
169;SONIA;  12;0,916
