Nº;Nombre;Total;Por mil (‰)
1;MARKEL;  24;20,391
2;AIMAR;  21;17,842
3;IZEI;  21;17,842
4;AIUR;  18;15,293
5;LUKA;  18;15,293
6;OIER;  18;15,293
7;UNAX;  18;15,293
8;IBAI;  17;14,444
9;AMETS;  16;13,594
10;JULEN;  15;12,744
11;DANEL;  14;11,895
12;MARTIN;  14;11,895
13;MIKEL;  14;11,895
14;IKER;  13;11,045
15;JON;  12;10,195
16;ANDER;  10;8,496
17;HODEI;  10;8,496
18;LUCAS;  10;8,496
19;OIHAN;  10;8,496
20;ADRIAN;  9;7,647
21;ALEX;  9;7,647
22;HUGO;  9;7,647
23;LEO;  9;7,647
24;LIAM;  9;7,647
25;EKAITZ;  8;6,797
26;MATEO;  8;6,797
27;THIAGO;  8;6,797
28;ADEI;  7;5,947
29;ARITZ;  7;5,947
30;BEÑAT;  7;5,947
31;DANIEL;  7;5,947
32;DIEGO;  7;5,947
33;IAN;  7;5,947
34;IRAI;  7;5,947
35;IZAN;  7;5,947
36;LIHER;  7;5,947
37;MOHAMED;  7;5,947
38;ALAIN;  6;5,098
39;ARATZ;  6;5,098
40;EKAIN;  6;5,098
41;ENZO;  6;5,098
42;IMRAN;  6;5,098
43;RAYAN;  6;5,098
44;UNAI;  6;5,098
45;ERIK;  5;4,248
46;HEGOI;  5;4,248
47;MARCO;  5;4,248
48;MARCOS;  5;4,248
49;MARIO;  5;4,248
50;PABLO;  5;4,248
51;PEIO;  5;4,248
52;YERAY;  5;4,248
