Nº;Nombre;Total;Por mil (‰)
1;MARKEL;  1.390;29,165
2;JON;  1.323;27,759
3;ANDER;  1.153;24,192
4;OIER;  993;20,835
5;IBAI;  960;20,143
6;IKER;  940;19,723
7;AIMAR;  934;19,597
8;MIKEL;  889;18,653
9;JULEN;  785;16,471
10;UNAI;  763;16,009
11;UNAX;  744;15,611
12;ENEKO;  734;15,401
13;DANEL;  632;13,261
14;MARTIN;  607;12,736
15;XABIER;  598;12,547
16;ASIER;  591;12,4
17;IZEI;  552;11,582
18;LUKEN;  526;11,037
19;ALAIN;  524;10,995
20;ARITZ;  514;10,785
21;BEÑAT;  500;10,491
22;OIHAN;  491;10,302
23;ANER;  489;10,26
24;AMETS;  473;9,924
25;PEIO;  426;8,938
26;EKAIN;  421;8,833
27;IZAN;  419;8,791
28;HUGO;  413;8,666
29;AITOR;  392;8,225
30;HODEI;  378;7,931
31;EDER;  366;7,679
32;DANIEL;  349;7,323
33;ADRIAN;  334;7,008
34;TELMO;  323;6,777
35;AIUR;  311;6,525
36;ENAITZ;  300;6,295
37;ALEX;  295;6,19
38;LIER;  291;6,106
39;IÑIGO;  289;6,064
40;LANDER;  284;5,959
41;PABLO;  276;5,791
42;ARATZ;  273;5,728
43;EKAITZ;  271;5,686
44;ERIK;  270;5,665
45;GORKA;  263;5,518
46;PAUL;  263;5,518
47;LUKA;  259;5,434
48;IAN;  252;5,287
49;DIEGO;  251;5,266
50;URKO;  246;5,162
51;LUCAS;  240;5,036
52;IBON;  239;5,015
53;LIHER;  228;4,784
54;MATEO;  206;4,322
55;PERU;  199;4,175
56;ALVARO;  192;4,029
57;AGER;  187;3,924
58;OINATZ;  175;3,672
59;DAVID;  174;3,651
60;NICOLAS;  174;3,651
61;ADEI;  173;3,63
62;ALEJANDRO;  170;3,567
63;MARCOS;  162;3,399
64;EKHI;  161;3,378
65;LEO;  160;3,357
66;ENDIKA;  151;3,168
67;GAIZKA;  151;3,168
68;MARCO;  140;2,937
69;JAVIER;  138;2,896
70;MARIO;  137;2,875
71;ANDONI;  135;2,833
72;ENZO;  131;2,749
73;JOSU;  129;2,707
74;EÑAUT;  128;2,686
75;GALDER;  124;2,602
76;KIMETZ;  116;2,434
77;JUAN;  113;2,371
78;UGAITZ;  111;2,329
79;HEGOI;  110;2,308
80;MANEX;  110;2,308
81;JOEL;  106;2,224
82;AINGERU;  105;2,203
83;ALEXANDER;  102;2,14
84;ERLANTZ;  102;2,14
85;INAR;  101;2,119
86;KERMAN;  99;2,077
87;LUCA;  98;2,056
88;GARI;  90;1,888
89;GONZALO;  90;1,888
90;JOKIN;  89;1,867
91;GABRIEL;  86;1,804
92;IGNACIO;  83;1,742
93;BRUNO;  82;1,721
94;DYLAN;  82;1,721
95;GUILLERMO;  82;1,721
96;ADAM;  81;1,7
97;EKI;  81;1,7
98;EKAI;  80;1,679
99;MAREN;  80;1,679
100;URTZI;  79;1,658
101;YERAY;  79;1,658
102;IMANOL;  78;1,637
103;OLIVER;  77;1,616
104;IORITZ;  76;1,595
105;IVAN;  76;1,595
106;IRAI;  74;1,553
107;IRAITZ;  74;1,553
108;AITZOL;  73;1,532
109;INHAR;  73;1,532
110;JAIME;  73;1,532
111;MOHAMED;  73;1,532
112;ARETX;  72;1,511
113;SENDOA;  72;1,511
114;GAEL;  71;1,49
115;LIAM;  69;1,448
116;EGOITZ;  68;1,427
117;HARITZ;  66;1,385
118;AARON;  65;1,364
119;AIERT;  65;1,364
120;JORGE;  65;1,364
121;KOLDO;  64;1,343
122;MIGUEL;  64;1,343
123;IGOR;  63;1,322
124;KEPA;  63;1,322
125;ION;  62;1,301
126;NOAH;  62;1,301
127;RAYAN;  62;1,301
128;ARKAITZ;  61;1,28
129;XABI;  60;1,259
130;LUIS;  59;1,238
131;OMAR;  59;1,238
132;THIAGO;  58;1,217
133;EINAR;  56;1,175
134;HECTOR;  55;1,154
135;MARC;  55;1,154
136;AMETZ;  54;1,133
137;SAMUEL;  54;1,133
138;SANTIAGO;  53;1,112
139;ERIC;  52;1,091
140;ISMAEL;  51;1,07
141;KAI;  50;1,049
142;ANARTZ;  49;1,028
143;ANGEL;  49;1,028
144;LUAR;  49;1,028
145;NEIZAN;  49;1,028
146;ADUR;  48;1,007
147;AXEL;  48;1,007
148;IAGO;  48;1,007
149;ZUHAITZ;  48;1,007
150;ALAN;  47;0,986
151;JOSE;  47;0,986
152;MANUEL;  47;0,986
153;ETHAN;  46;0,965
154;JORITZ;  46;0,965
155;KEMEN;  46;0,965
156;HAITZ;  45;0,944
157;SERGIO;  45;0,944
158;CRISTIAN;  44;0,923
159;NIKOLA;  44;0,923
160;IÑAKI;  43;0,902
161;CARLOS;  42;0,881
162;ENAI;  42;0,881
163;JON ANDER;  42;0,881
164;TOMAS;  41;0,86
165;AMIR;  40;0,839
166;ANTONIO;  40;0,839
167;ODEI;  40;0,839
168;NIKO;  39;0,818
169;VICTOR;  39;0,818
170;XUBAN;  39;0,818
171;EIDAN;  38;0,797
172;KAIET;  38;0,797
173;LUKAS;  38;0,797
174;MATIAS;  38;0,797
175;RAFAEL;  38;0,797
176;YOUSSEF;  37;0,776
177;MARK;  36;0,755
178;SAUL;  36;0,755
179;BOSCO;  35;0,734
180;ISAAC;  34;0,713
181;MARKO;  34;0,713
182;TEO;  34;0,713
183;EUKEN;  33;0,692
184;JESUS;  33;0,692
185;RUBEN;  33;0,692
186;ANTON;  32;0,671
187;KEVIN;  32;0,671
188;ANDRES;  31;0,65
189;EIDEN;  31;0,65
190;ELIAS;  31;0,65
191;ERITZ;  31;0,65
192;GILEN;  31;0,65
193;KILIAN;  31;0,65
194;LIZAR;  31;0,65
195;PEDRO;  31;0,65
196;EGOI;  30;0,629
197;HARRIET;  30;0,629
198;IELTXU;  30;0,629
199;KENAI;  30;0,629
200;RAUL;  30;0,629
201;TXABER;  30;0,629
202;ANAS;  29;0,608
203;AYMAN;  29;0,608
204;JOSEBA;  29;0,608
205;YAGO;  29;0,608
206;ALAI;  28;0,587
207;ELEDER;  28;0,587
208;KIRMEN;  27;0,567
209;EDUARDO;  26;0,546
210;ENRIQUE;  26;0,546
211;FERNANDO;  26;0,546
212;JONATHAN;  26;0,546
213;NIKOLAS;  26;0,546
214;AKETX;  25;0,525
215;ERICK;  25;0,525
216;IBAN;  25;0,525
217;ETXAHUN;  24;0,504
218;UR;  24;0,504
219;ADAY;  23;0,483
220;DARIO;  23;0,483
221;DENIS;  23;0,483
222;IMRAN;  23;0,483
223;JAGOBA;  23;0,483
224;SUHAR;  23;0,483
225;YERAI;  23;0,483
226;ANDEKA;  22;0,462
227;CHRISTIAN;  22;0,462
228;EIZAN;  22;0,462
229;JURGI;  22;0,462
230;RODRIGO;  22;0,462
231;SABIN;  22;0,462
232;ANDREI;  21;0,441
233;GONTZAL;  21;0,441
234;PAU;  21;0,441
235;SEBASTIAN;  21;0,441
236;AHMED;  20;0,42
237;EIHAR;  20;0,42
238;ARAN;  19;0,399
239;BINGEN;  19;0,399
240;ENETZ;  19;0,399
241;IGOTZ;  19;0,399
242;JAKES;  19;0,399
243;NAKOR;  19;0,399
244;OSCAR;  19;0,399
245;PATRIK;  19;0,399
246;PELLO;  19;0,399
247;XANET;  19;0,399
248;ABRAHAM;  18;0,378
249;ALATZ;  18;0,378
250;ALBERTO;  18;0,378
251;ALEN;  18;0,378
252;AYOUB;  18;0,378
253;ELIAN;  18;0,378
254;IPAR;  18;0,378
255;SIMON;  18;0,378
256;SUGOI;  18;0,378
257;ANJE;  17;0,357
258;BORJA;  17;0,357
259;EKHIOTZ;  17;0,357
260;GARIKOITZ;  17;0,357
261;IBRAHIM;  17;0,357
262;ILYAS;  17;0,357
263;ISRAEL;  17;0,357
264;KARIM;  17;0,357
265;ORTZI;  17;0,357
266;ROKE;  17;0,357
267;ADAN;  16;0,336
268;AETZ;  16;0,336
269;ALLUITZ;  16;0,336
270;MARTZEL;  16;0,336
271;NOEL;  16;0,336
272;ROQUE;  16;0,336
273;ANWAR;  15;0,315
274;HARAN;  15;0,315
275;HEIKO;  15;0,315
276;JOANES;  15;0,315
277;LUR;  15;0,315
278;MIGUEL ANGEL;  15;0,315
