Nº;Nombre;Total;Por mil (‰)
1;ANE;  82;23,803
2;IZARO;  64;18,578
3;JUNE;  60;17,417
4;LAIA;  59;17,126
5;IRATI;  51;14,804
6;NAHIA;  48;13,933
7;LUCIA;  44;12,772
8;NAIA;  44;12,772
9;MARTINA;  43;12,482
10;ALAIA;  42;12,192
11;NOA;  42;12,192
12;ELAIA;  40;11,611
13;HAIZEA;  38;11,03
14;MADDI;  37;10,74
15;UXUE;  35;10,16
16;MALEN;  33;9,579
17;ENARA;  32;9,289
18;NORA;  32;9,289
19;LEA;  29;8,418
20;PAULE;  29;8,418
21;SOFIA;  29;8,418
22;IRAIA;  28;8,128
23;IZADI;  28;8,128
24;JARE;  27;7,837
25;LIBE;  26;7,547
26;MAIALEN;  26;7,547
27;EMMA;  25;7,257
28;MARA;  25;7,257
29;AITANA;  24;6,967
30;ALIZE;  24;6,967
31;ELENE;  24;6,967
32;LEIZE;  24;6,967
33;SARA;  23;6,676
34;IZAR;  22;6,386
35;PAULA;  22;6,386
36;ALBA;  21;6,096
37;SARE;  21;6,096
38;UDANE;  20;5,806
39;AINHIZE;  17;4,935
40;NIKOLE;  17;4,935
41;VERA;  17;4,935
42;AIALA;  16;4,644
43;CHLOE;  16;4,644
44;DANIELA;  16;4,644
45;MAREN;  16;4,644
46;NEREA;  16;4,644
47;AROA;  15;4,354
48;NAROA;  15;4,354
49;JONE;  14;4,064
50;MARIA;  14;4,064
51;NILE;  14;4,064
52;VICTORIA;  14;4,064
53;LARA;  13;3,774
54;INES;  12;3,483
55;IRENE;  12;3,483
56;MIREN;  12;3,483
57;XARE;  12;3,483
58;AIORA;  11;3,193
59;AMAIA;  11;3,193
60;ARIANE;  11;3,193
61;EIDER;  11;3,193
62;ELENA;  11;3,193
63;ILARGI;  11;3,193
64;JULIA;  11;3,193
65;LAIDA;  11;3,193
66;MAIDER;  11;3,193
67;AINARA;  10;2,903
68;LEIRE;  10;2,903
69;LUR;  10;2,903
70;MIA;  10;2,903
71;VEGA;  10;2,903
72;AMIRA;  9;2,612
73;GARAZI;  9;2,612
74;KATTALIN;  9;2,612
75;MAIA;  9;2,612
76;OLIVIA;  9;2,612
77;VALERIA;  9;2,612
78;ZOE;  9;2,612
79;AINHOA;  8;2,322
80;AIURI;  8;2,322
81;ALAITZ;  8;2,322
82;ALMA;  8;2,322
83;ANDREA;  8;2,322
84;ARANE;  8;2,322
85;CARLA;  8;2,322
86;CARMEN;  8;2,322
87;ENERITZ;  8;2,322
88;GABRIELA;  8;2,322
89;KATALIN;  8;2,322
90;LOREA;  8;2,322
91;VALENTINA;  8;2,322
92;ADRIANA;  7;2,032
93;ALAZNE;  7;2,032
94;ALEJANDRA;  7;2,032
95;ANTONELLA;  7;2,032
96;FATIMA;  7;2,032
97;GALA;  7;2,032
98;HAIZENE;  7;2,032
99;IRADI;  7;2,032
100;IRIA;  7;2,032
101;LAURA;  7;2,032
102;LEXURI;  7;2,032
103;LIA;  7;2,032
104;MIRARI;  7;2,032
105;NADIA;  7;2,032
106;NARE;  7;2,032
107;ADARA;  6;1,742
108;AIARA;  6;1,742
109;ARENE;  6;1,742
110;CANDELA;  6;1,742
111;EVA;  6;1,742
112;HEGOA;  6;1,742
113;HELENE;  6;1,742
114;IZARE;  6;1,742
115;MAITANE;  6;1,742
116;MALAK;  6;1,742
117;YASMIN;  6;1,742
118;AISHA;  5;1,451
119;ALICIA;  5;1,451
120;AMAIUR;  5;1,451
121;ARAIA;  5;1,451
122;ARIADNA;  5;1,451
123;DIANA;  5;1,451
124;ISABELLA;  5;1,451
125;ITSASNE;  5;1,451
126;JULENE;  5;1,451
127;LEYRE;  5;1,451
128;MARIANA;  5;1,451
129;MARTA;  5;1,451
130;MAULE;  5;1,451
131;NARA;  5;1,451
132;OLAIA;  5;1,451
133;OLATZ;  5;1,451
134;TRIANA;  5;1,451
;;;
