Nº;Nombre;Total;Por mil (‰)
1;ANE;  1.234;38,496
2;IRATI;  934;29,137
3;NAHIA;  858;26,766
4;JUNE;  840;26,205
5;LEIRE;  817;25,487
6;NAROA;  720;22,461
7;NORA;  713;22,243
8;MADDI;  700;21,837
9;MAIALEN;  654;20,402
10;UXUE;  614;19,155
11;MARIA;  571;17,813
12;NEREA;  555;17,314
13;SARA;  526;16,409
14;EIDER;  517;16,129
15;PAULA;  490;15,286
16;AINHOA;  445;13,882
17;LUCIA;  396;12,354
18;GARAZI;  393;12,26
19;IZARO;  363;11,324
20;HAIZEA;  349;10,888
21;MAIDER;  348;10,856
22;IRENE;  334;10,42
23;MALEN;  330;10,295
24;NAIA;  322;10,045
25;NAIARA;  306;9,546
26;AMAIA;  294;9,172
27;ELENE;  283;8,829
28;ENARA;  282;8,797
29;IRAIA;  251;7,83
30;JONE;  251;7,83
31;OIHANE;  248;7,737
32;ANDREA;  247;7,706
33;NAGORE;  238;7,425
34;LAURA;  229;7,144
35;MAREN;  226;7,05
36;MARTA;  213;6,645
37;SAIOA;  213;6,645
38;MIREN;  211;6,582
39;JANIRE;  204;6,364
40;AINARA;  202;6,302
41;ALAITZ;  202;6,302
42;AITANA;  196;6,114
43;ALBA;  194;6,052
44;OLAIA;  192;5,99
45;AROA;  184;5,74
46;OLATZ;  181;5,647
47;MAITANE;  179;5,584
48;LIDE;  172;5,366
49;AIORA;  163;5,085
50;INTZA;  159;4,96
51;ENERITZ;  149;4,648
52;LOREA;  149;4,648
53;NOA;  149;4,648
54;MARINA;  142;4,43
55;LAIA;  141;4,399
56;MAITE;  140;4,367
57;OIHANA;  140;4,367
58;ANNE;  139;4,336
59;LIBE;  138;4,305
60;CARLA;  123;3,837
61;UDANE;  121;3,775
62;IRUNE;  118;3,681
63;CLAUDIA;  114;3,556
64;ANA;  111;3,463
65;MIREIA;  107;3,338
66;MARA;  104;3,244
67;ALAZNE;  103;3,213
68;ELENA;  103;3,213
69;LORENA;  102;3,182
70;IZAR;  99;3,088
71;ZURIÑE;  95;2,964
72;LAIDA;  93;2,901
73;ITSASO;  92;2,87
74;ADRIANA;  91;2,839
75;INGE;  88;2,745
76;IRATXE;  88;2,745
77;ITXASO;  86;2,683
78;SOFIA;  86;2,683
79;INES;  80;2,496
80;ARAITZ;  76;2,371
81;ARIANE;  76;2,371
82;JULENE;  76;2,371
83;AMAIUR;  75;2,34
84;NAHIKARI;  73;2,277
85;NATALIA;  72;2,246
86;ERIKA;  69;2,153
87;ITZIAR;  69;2,153
88;IRAIDE;  68;2,121
89;ELAIA;  66;2,059
90;JOANE;  65;2,028
91;ALAIA;  59;1,841
92;CRISTINA;  59;1,841
93;HELENE;  57;1,778
94;LEYRE;  56;1,747
95;LIERNI;  56;1,747
96;MIRIAM;  56;1,747
97;JARE;  55;1,716
98;IRIA;  54;1,685
99;DANIELA;  52;1,622
100;PATRICIA;  52;1,622
101;LARA;  50;1,56
102;SANDRA;  50;1,56
103;ALEJANDRA;  49;1,529
104;IDOIA;  48;1,497
105;LUR;  48;1,497
106;ONINTZA;  48;1,497
107;JUDITH;  45;1,404
108;MARTINA;  44;1,373
109;AINHIZE;  43;1,341
110;LORE;  43;1,341
111;NURIA;  42;1,31
112;JULIA;  41;1,279
113;AITZIBER;  39;1,217
114;CARLOTA;  39;1,217
115;EDURNE;  39;1,217
116;EVA;  39;1,217
117;TERESA;  37;1,154
118;IHINTZA;  36;1,123
119;KATTALIN;  36;1,123
120;YAIZA;  36;1,123
121;CLARA;  35;1,092
122;MIRARI;  34;1,061
123;ILARGI;  33;1,029
124;ISABEL;  33;1,029
125;JOSUNE;  33;1,029
126;KARLA;  33;1,029
127;LARRAITZ;  33;1,029
128;SHEILA;  33;1,029
129;AMANE;  32;0,998
130;SILVIA;  32;0,998
131;ALAINE;  31;0,967
132;AMETS;  31;0,967
133;ARRATE;  30;0,936
134;EKIÑE;  30;0,936
135;GABRIELA;  30;0,936
136;MAIA;  30;0,936
137;MAIER;  30;0,936
138;NEKANE;  30;0,936
139;SARAY;  30;0,936
140;MADDALEN;  29;0,905
141;NOELIA;  29;0,905
142;AIALA;  28;0,873
143;ANGELA;  28;0,873
144;EMMA;  28;0,873
145;IZADI;  28;0,873
146;NATALE;  28;0,873
147;PAULE;  28;0,873
148;RUTH;  28;0,873
149;ARAIA;  27;0,842
150;ARENE;  27;0,842
151;AMALUR;  26;0,811
152;ARHANE;  26;0,811
153;JAIONE;  26;0,811
154;JOANA;  26;0,811
155;SALMA;  26;0,811
156;SARAI;  26;0,811
157;AINTZANE;  25;0,78
158;BEATRIZ;  25;0,78
159;CARMEN;  25;0,78
160;IUNE;  25;0,78
161;NAIRA;  25;0,78
162;RAQUEL;  25;0,78
163;ALICIA;  24;0,749
164;EKHIÑE;  24;0,749
165;IBONE;  24;0,749
166;LIDIA;  24;0,749
167;IARA;  23;0,718
168;IXONE;  23;0,718
169;ONEKA;  23;0,718
170;PAOLA;  23;0,718
171;AIZPEA;  22;0,686
172;ARIADNA;  22;0,686
173;GORETTI;  22;0,686
174;HELENA;  22;0,686
175;MONICA;  22;0,686
176;BLANCA;  21;0,655
177;IZASKUN;  21;0,655
178;KIARA;  21;0,655
179;CELIA;  20;0,624
180;NADIA;  20;0,624
181;ALEXANDRA;  19;0,593
182;ANE MIREN;  19;0,593
183;ELSA;  19;0,593
184;IANIRE;  19;0,593
185;LAIENE;  19;0,593
186;ILAZKI;  18;0,562
187;AIARA;  17;0,53
188;ESTHER;  17;0,53
189;ESTIBALIZ;  17;0,53
190;IGONE;  17;0,53
191;KIRA;  17;0,53
192;NOEMI;  17;0,53
193;TANIA;  17;0,53
194;ANA MARIA;  16;0,499
195;EUKENE;  16;0,499
196;GOIZANE;  16;0,499
197;IRANTZU;  16;0,499
198;KATIXA;  16;0,499
199;NERE;  16;0,499
200;SARAH;  16;0,499
201;SONIA;  16;0,499
202;SUA;  16;0,499
203;AIDA;  15;0,468
204;ESTITXU;  15;0,468
205;GORANE;  15;0,468
206;HEGOA;  15;0,468
207;IRADI;  15;0,468
208;JULE;  15;0,468
209;MAGALI;  15;0,468
210;MIREN AMAIUR;  15;0,468
211;NOAH;  15;0,468
212;ROCIO;  15;0,468
213;VICTORIA;  15;0,468
214;YERA;  15;0,468
215;ZAIRA;  15;0,468
216;AINITZE;  14;0,437
217;AIXA;  14;0,437
218;ARAI;  14;0,437
219;ARIANA;  14;0,437
220;AYA;  14;0,437
221;CANDELA;  14;0,437
222;DIANA;  14;0,437
223;ELORRI;  14;0,437
224;HENAR;  14;0,437
225;IONE;  14;0,437
226;IRIS;  14;0,437
227;ITSASNE;  14;0,437
228;LUNA;  14;0,437
229;MALENA;  14;0,437
