Nº;Nombre;Total;Por mil (‰)
1;MARKEL;  750;24,006
2;JON;  749;23,974
3;JULEN;  716;22,918
4;OIER;  664;21,253
5;UNAI;  649;20,773
6;UNAX;  604;19,333
7;AIMAR;  602;19,269
8;IKER;  590;18,885
9;ANDER;  569;18,213
10;IBAI;  553;17,701
11;OIHAN;  548;17,54
12;MIKEL;  521;16,676
13;DANEL;  485;15,524
14;MARTIN;  458;14,66
15;ENEKO;  427;13,667
16;BEÑAT;  420;13,443
17;AMETS;  365;11,683
18;ANER;  359;11,491
19;ALAIN;  333;10,659
20;TELMO;  311;9,955
21;ALEX;  308;9,859
22;HODEI;  306;9,795
23;EKAIN;  299;9,57
24;LUKA;  275;8,802
25;HUGO;  272;8,706
26;MANEX;  268;8,578
27;EKHI;  265;8,482
28;ASIER;  253;8,098
29;URKO;  250;8,002
30;XABIER;  248;7,938
31;AITOR;  246;7,874
32;AIUR;  212;6,786
33;PERU;  197;6,306
34;ERIK;  196;6,274
35;ADUR;  195;6,242
36;PAUL;  188;6,018
37;LUKEN;  186;5,954
38;XUBAN;  183;5,857
39;ARATZ;  178;5,697
40;EÑAUT;  178;5,697
41;PABLO;  171;5,473
42;ENAITZ;  167;5,345
43;ADEI;  158;5,057
44;LANDER;  156;4,993
45;EKI;  155;4,961
46;LUCAS;  150;4,801
47;IAN;  149;4,769
48;XABAT;  149;4,769
49;ARITZ;  148;4,737
50;MATEO;  147;4,705
51;IÑIGO;  143;4,577
52;GORKA;  140;4,481
53;LEO;  138;4,417
54;DANIEL;  137;4,385
55;ADRIAN;  136;4,353
56;JAKES;  136;4,353
57;OINATZ;  123;3,937
58;DIEGO;  122;3,905
59;IZAN;  118;3,777
60;EKAITZ;  117;3,745
61;LIHER;  117;3,745
62;LIER;  112;3,585
63;IZEI;  106;3,393
64;INHAR;  104;3,329
65;JOSU;  100;3,201
66;NICOLAS;  99;3,169
67;HAITZ;  91;2,913
68;IBON;  91;2,913
69;IRAI;  91;2,913
70;GARI;  90;2,881
71;EKAI;  89;2,849
72;ALEJANDRO;  87;2,785
73;DAVID;  87;2,785
74;MATTIN;  87;2,785
75;JOANES;  86;2,753
76;JOKIN;  86;2,753
77;ADAM;  85;2,721
78;LUKAS;  85;2,721
79;AIERT;  79;2,529
80;HARITZ;  76;2,433
81;MARIO;  74;2,369
82;AXEL;  72;2,305
83;HEGOI;  72;2,305
84;INAR;  71;2,273
85;LUCA;  68;2,177
86;XUHAR;  68;2,177
87;MARCO;  66;2,113
88;KAIET;  65;2,081
89;ANDONI;  64;2,049
90;ENDIKA;  63;2,017
91;NIKO;  62;1,985
92;ODEI;  62;1,985
93;MOHAMED;  61;1,952
94;IÑAKI;  59;1,888
95;MARCOS;  59;1,888
96;AURITZ;  58;1,856
97;EDER;  58;1,856
98;XABI;  58;1,856
99;ALVARO;  57;1,824
100;IRAITZ;  57;1,824
101;OXEL;  57;1,824
102;KAI;  56;1,792
103;EGOI;  55;1,76
104;ENZO;  52;1,664
105;IGOR;  51;1,632
106;MARC;  51;1,632
107;RAYAN;  51;1,632
108;GAIZKA;  50;1,6
109;NOAH;  50;1,6
110;ALAN;  48;1,536
111;GALDER;  48;1,536
112;JUAN;  48;1,536
113;ZUHAITZ;  46;1,472
114;DENIS;  45;1,44
115;AARON;  44;1,408
116;BRUNO;  44;1,408
117;ANARTZ;  43;1,376
118;DYLAN;  43;1,376
119;IORITZ;  43;1,376
120;UR;  42;1,344
121;IMANOL;  41;1,312
122;LUAR;  41;1,312
123;MARK;  41;1,312
124;MARTXEL;  41;1,312
125;OMAR;  41;1,312
126;PEIO;  41;1,312
127;URTZI;  41;1,312
128;JOEL;  40;1,28
129;LIAM;  40;1,28
130;HARRI;  39;1,248
131;LIZAR;  39;1,248
132;XANET;  39;1,248
133;ANAS;  38;1,216
134;ENETZ;  38;1,216
135;JAVIER;  38;1,216
136;SUHAR;  38;1,216
137;ION;  37;1,184
138;IVAN;  37;1,184
139;KERMAN;  37;1,184
140;GAEL;  36;1,152
141;LUR;  36;1,152
142;MARKO;  36;1,152
143;ALEXANDER;  35;1,12
144;ALAI;  34;1,088
145;ANJE;  34;1,088
146;SERGIO;  34;1,088
147;UGAITZ;  34;1,088
148;TEO;  33;1,056
149;XIKER;  33;1,056
150;JURGI;  32;1,024
151;KIMETZ;  32;1,024
152;AITZOL;  31;0,992
153;KEPA;  30;0,96
154;LUIS;  30;0,96
155;MIGUEL;  30;0,96
156;NIKOLAS;  30;0,96
157;SEBASTIAN;  30;0,96
158;YOUSSEF;  30;0,96
159;EGOITZ;  29;0,928
160;GABRIEL;  29;0,928
161;ISMAEL;  29;0,928
162;SAMUEL;  29;0,928
163;EINAR;  28;0,896
164;ADAY;  27;0,864
165;AMIR;  27;0,864
166;ERIC;  27;0,864
167;OLIVER;  27;0,864
168;AGER;  26;0,832
169;ENAI;  26;0,832
170;YERAY;  26;0,832
171;IGNACIO;  25;0,8
172;JORGE;  25;0,8
173;RUBEN;  25;0,8
174;ELUR;  24;0,768
175;IMRAN;  24;0,768
176;JOSEBA;  24;0,768
177;THIAGO;  24;0,768
178;ETHAN;  23;0,736
179;KILIAN;  23;0,736
180;MATIAS;  23;0,736
181;AMETZ;  22;0,704
182;GANIX;  22;0,704
183;GONZALO;  22;0,704
184;HARRIET;  22;0,704
185;KOLDO;  22;0,704
186;TOMAS;  22;0,704
187;URKI;  22;0,704
188;VICTOR;  22;0,704
189;YAGO;  22;0,704
190;YERAI;  22;0,704
191;AHMED;  21;0,672
192;ARKAITZ;  21;0,672
193;BITTOR;  21;0,672
194;CRISTIAN;  21;0,672
195;SIMON;  21;0,672
196;AETZ;  20;0,64
197;ANDDE;  20;0,64
198;IBAN;  20;0,64
199;IOSU;  20;0,64
200;JORITZ;  20;0,64
201;AINGERU;  19;0,608
202;ANGEL;  19;0,608
203;ARAN;  19;0,608
204;CARLOS;  19;0,608
205;ERITZ;  19;0,608
206;GUILLERMO;  19;0,608
207;JON ANDER;  19;0,608
208;PAU;  19;0,608
209;SANTIAGO;  19;0,608
210;SAUL;  19;0,608
211;ELIAS;  18;0,576
212;IAGO;  18;0,576
213;PATXI;  18;0,576
214;ALEN;  17;0,544
215;ETXAHUN;  17;0,544
216;ISAAC;  17;0,544
217;JANITZ;  17;0,544
218;MANUEL;  17;0,544
219;NEIZAN;  17;0,544
220;OÑATZ;  17;0,544
221;AXIER;  16;0,512
222;AYMAN;  16;0,512
223;ERLANTZ;  16;0,512
224;KEVIN;  16;0,512
225;MAURO;  16;0,512
226;PELLO;  16;0,512
227;POL;  16;0,512
228;RAUL;  16;0,512
229;AMIN;  15;0,48
230;IURGI;  15;0,48
231;KENAI;  15;0,48
232;PEDRO;  15;0,48
233;ALI;  14;0,448
234;AMAIUR;  14;0,448
235;AYOUB;  14;0,448
236;DARIO;  14;0,448
237;ERICK;  14;0,448
238;EUKEN;  14;0,448
239;IAKES;  14;0,448
240;ILYAS;  14;0,448
241;IYAD;  14;0,448
242;JAIME;  14;0,448
243;JOAN;  14;0,448
244;KEMEN;  14;0,448
245;NICO;  14;0,448
246;TXOMIN;  14;0,448
247;YOUNES;  14;0,448
248;ANTON;  13;0,416
249;ANTTON;  13;0,416
250;BORJA;  13;0,416
251;EIHAR;  13;0,416
252;FERNANDO;  13;0,416
253;HAMZA;  13;0,416
254;HARON;  13;0,416
255;NAKOR;  13;0,416
256;SAMI;  13;0,416
257;YASSIN;  13;0,416
258;ADAN;  12;0,384
259;ARTURO;  12;0,384
260;BILAL;  12;0,384
261;EIDEN;  12;0,384
262;HECTOR;  12;0,384
263;HEIKO;  12;0,384
264;JOAR;  12;0,384
265;JONATHAN;  12;0,384
266;LIAN;  12;0,384
267;NIZAR;  12;0,384
268;ORHI;  12;0,384
269;ORKATZ;  12;0,384
270;PAULO;  12;0,384
271;XAN;  12;0,384
272;ZAKARIA;  12;0,384
273;ABRAHAM;  11;0,352
274;AKRAM;  11;0,352
275;ALBERTO;  11;0,352
276;ANTONIO;  11;0,352
277;LEONARDO;  11;0,352
278;NATHAN;  11;0,352
279;OROITZ;  11;0,352
280;ORTZI;  11;0,352
281;OSCAR;  11;0,352
282;YASSER;  11;0,352
283;YURI;  11;0,352
284;ARES;  10;0,32
285;ISMAIL;  10;0,32
286;JOSE;  10;0,32
287;RODRIGO;  10;0,32
288;SUSTRAI;  10;0,32
289;URAITZ;  10;0,32
290;AIEKO;  9;0,288
291;ANAITZ;  9;0,288
292;ANDRES;  9;0,288
293;ANUK;  9;0,288
294;BRAIS;  9;0,288
295;EIDAN;  9;0,288
296;HUR;  9;0,288
297;IBRAHIM;  9;0,288
298;IPAR;  9;0,288
299;JESUS;  9;0,288
300;JOSE ANTONIO;  9;0,288
301;JOSE LUIS;  9;0,288
302;KARIM;  9;0,288
303;MAEL;  9;0,288
304;MOHAMED AMIN;  9;0,288
305;OSKITZ;  9;0,288
306;RAFAEL;  9;0,288
307;SAAD;  9;0,288
308;TIAGO;  9;0,288
309;UHAITZ;  9;0,288
310;YOEL;  9;0,288
311;ANGE;  8;0,256
312;ARAY;  8;0,256
313;ARNAU;  8;0,256
314;AXULAR;  8;0,256
315;AYAN;  8;0,256
316;BADR;  8;0,256
317;CHRISTIAN;  8;0,256
318;EDUARDO;  8;0,256
319;ENRIQUE;  8;0,256
320;HAIZE;  8;0,256
321;HARAN;  8;0,256
322;INDAR;  8;0,256
323;IOAR;  8;0,256
324;ITOITZ;  8;0,256
325;MAX;  8;0,256
326;MOHAMMED;  8;0,256
327;NAHUEL;  8;0,256
328;NESTOR;  8;0,256
329;NOEL;  8;0,256
330;REDA;  8;0,256
331;ROKE;  8;0,256
332;UDAI;  8;0,256
333;WALID;  8;0,256
334;XANTI;  8;0,256
335;XIMUN;  8;0,256
336;YASSIR;  8;0,256
337;ABEL;  7;0,224
338;AIHEN;  7;0,224
339;AIMAN;  7;0,224
340;ALEIX;  7;0,224
341;BERNAT;  7;0,224
342;DEREK;  7;0,224
343;EDUR;  7;0,224
344;ELOY;  7;0,224
345;ENAR;  7;0,224
346;FELIX;  7;0,224
347;GARIKOITZ;  7;0,224
348;GERMAN;  7;0,224
349;GEXAN;  7;0,224
350;HARKAITZ;  7;0,224
351;IREN;  7;0,224
352;ISRAEL;  7;0,224
353;IURI;  7;0,224
354;JOSE MARIA;  7;0,224
355;JOSUE;  7;0,224
356;JUAN JOSE;  7;0,224
357;MAIU;  7;0,224
358;MOUHAMED;  7;0,224
359;NABIL;  7;0,224
360;NIKOLA;  7;0,224
361;NIL;  7;0,224
362;SAID;  7;0,224
363;SALMAN;  7;0,224
364;SUGOI;  7;0,224
365;TRISTAN;  7;0,224
366;URRITZ;  7;0,224
367;XOEL;  7;0,224
368;ABDULLAH;  6;0,192
369;AIDAN;  6;0,192
370;ANIR;  6;0,192
371;ARON;  6;0,192
372;ASER;  6;0,192
373;BENJAMIN;  6;0,192
374;BOSCO;  6;0,192
375;BRYAN;  6;0,192
376;ELIAN;  6;0,192
377;EMMANUEL;  6;0,192
378;FRANCISCO;  6;0,192
379;FRANCISCO JAVIER;  6;0,192
380;GILLEN;  6;0,192
381;IGOTZ;  6;0,192
382;IOAN;  6;0,192
383;JAGOBA;  6;0,192
384;JOHN;  6;0,192
385;LUKE;  6;0,192
386;MATHIAS;  6;0,192
387;MATTEO;  6;0,192
388;MIGUEL ANGEL;  6;0,192
389;MUSA;  6;0,192
390;NADIR;  6;0,192
391;NAIM;  6;0,192
392;NATANAEL;  6;0,192
393;SAMIR;  6;0,192
394;TAREK;  6;0,192
395;THEO;  6;0,192
396;XOAN;  6;0,192
397;YAHYA;  6;0,192
398;YASIN;  6;0,192
399;YUSEF;  6;0,192
400;ACHRAF;  5;0,16
401;ANOUAR;  5;0,16
402;ANWAR;  5;0,16
403;BRAYAN;  5;0,16
404;BRIAN;  5;0,16
405;DAMIAN;  5;0,16
406;DAREN;  5;0,16
407;DEI;  5;0,16
408;EDAHI;  5;0,16
409;EDGAR;  5;0,16
410;EGOR;  5;0,16
411;EMANUEL;  5;0,16
412;EVAN;  5;0,16
413;EZEQUIEL;  5;0,16
414;FIRAS;  5;0,16
415;GERARD;  5;0,16
416;GILEN;  5;0,16
417;HAIMAR;  5;0,16
418;ILLART;  5;0,16
419;ISHAK;  5;0,16
420;JAIRO;  5;0,16
421;LAIN;  5;0,16
422;LEANDRO;  5;0,16
423;LUAN;  5;0,16
424;LUCCA;  5;0,16
425;MAHER;  5;0,16
426;MARKOS;  5;0,16
427;MATEI;  5;0,16
428;MAXIMO;  5;0,16
429;MOHAMED AMINE;  5;0,16
430;MUSTAFA;  5;0,16
431;ORIOL;  5;0,16
432;OSKAR;  5;0,16
433;OUSSAMA;  5;0,16
434;ROI;  5;0,16
435;SUGAR;  5;0,16
436;XENKI;  5;0,16
437;YAEL;  5;0,16
438;YON;  5;0,16
439;YOUSEF;  5;0,16
