Nº;Nombre;Total;Por mil (‰)
1;IRATI;  589;20,381
2;LUCIA;  573;19,827
3;NAHIA;  506;17,509
4;ANE;  462;15,986
5;LEYRE;  397;13,737
6;SOFIA;  378;13,08
7;PAULA;  368;12,734
8;JUNE;  344;11,903
9;NOA;  343;11,869
10;SARA;  334;11,557
11;MARIA;  330;11,419
12;MARTINA;  310;10,727
13;AITANA;  283;9,792
14;LEIRE;  278;9,619
15;ALBA;  276;9,55
16;DANIELA;  268;9,273
17;IRENE;  255;8,824
18;CARLA;  247;8,547
19;NAROA;  245;8,478
20;AMAIA;  243;8,408
21;HAIZEA;  243;8,408
22;JULIA;  236;8,166
23;ANNE;  233;8,062
24;UXUE;  226;7,82
25;NEREA;  223;7,716
26;NORA;  222;7,682
27;AROA;  218;7,543
28;SAIOA;  215;7,439
29;ADRIANA;  210;7,266
30;IRAIA;  209;7,232
31;LAIA;  207;7,163
32;IRUNE;  201;6,955
33;CLAUDIA;  196;6,782
34;EIDER;  188;6,505
35;AINHOA;  182;6,298
36;AINARA;  175;6,055
37;ANA;  175;6,055
38;VALERIA;  169;5,848
39;EMMA;  153;5,294
40;MADDI;  153;5,294
41;ANDREA;  150;5,19
42;VEGA;  150;5,19
43;CARMEN;  149;5,156
44;MAIALEN;  149;5,156
45;INES;  139;4,81
46;ELENA;  138;4,775
47;ALAIA;  136;4,706
48;ENARA;  132;4,567
49;OLAIA;  132;4,567
50;LAURA;  130;4,498
51;NAIA;  128;4,429
52;MARINA;  124;4,291
53;NAIARA;  124;4,291
54;OIHANE;  121;4,187
55;MARTA;  112;3,875
56;CARLOTA;  108;3,737
57;CHLOE;  106;3,668
58;IZARO;  103;3,564
59;MAIDER;  102;3,529
60;ELAIA;  98;3,391
61;ANGELA;  95;3,287
62;ISABEL;  94;3,253
63;LOREA;  94;3,253
64;NAGORE;  93;3,218
65;VALENTINA;  93;3,218
66;LARA;  87;3,01
67;OLIVIA;  87;3,01
68;JIMENA;  86;2,976
69;ALEJANDRA;  82;2,837
70;CANDELA;  81;2,803
71;ARHANE;  79;2,734
72;MALEN;  78;2,699
73;ALICIA;  77;2,664
74;MAREN;  77;2,664
75;MARA;  75;2,595
76;ZOE;  75;2,595
77;MIREN;  71;2,457
78;MALAK;  70;2,422
79;VERA;  69;2,388
80;LOLA;  68;2,353
81;MAITANE;  68;2,353
82;ARIADNA;  67;2,318
83;EVA;  66;2,284
84;ALAZNE;  65;2,249
85;CLARA;  65;2,249
86;MAIA;  65;2,249
87;MAITE;  65;2,249
88;JARE;  64;2,215
89;ARIANE;  62;2,145
90;CELIA;  62;2,145
91;CRISTINA;  61;2,111
92;GARAZI;  60;2,076
93;MARWA;  60;2,076
94;VICTORIA;  59;2,042
95;BLANCA;  58;2,007
96;ELSA;  58;2,007
97;JONE;  58;2,007
98;AFRICA;  56;1,938
99;GABRIELA;  56;1,938
100;ALAITZ;  55;1,903
101;AYA;  55;1,903
102;NATALIA;  55;1,903
103;MIA;  54;1,869
104;MIREIA;  53;1,834
105;SALMA;  53;1,834
106;AMAYA;  52;1,799
107;YASMIN;  52;1,799
108;IZADI;  51;1,765
109;EDURNE;  50;1,73
110;SILVIA;  50;1,73
111;CAROLINA;  49;1,696
112;HELENA;  48;1,661
113;ROCIO;  48;1,661
114;ERIKA;  45;1,557
115;LINA;  45;1,557
116;IRADI;  44;1,522
117;IRIA;  44;1,522
118;MIRIAM;  44;1,522
119;AIORA;  43;1,488
120;AMIRA;  43;1,488
121;IZAR;  43;1,488
122;ALMA;  42;1,453
123;IRANZU;  42;1,453
124;NADIA;  41;1,419
125;NOELIA;  41;1,419
126;TERESA;  41;1,419
127;ARIADNE;  40;1,384
128;SARAY;  40;1,384
129;UDANE;  39;1,349
130;ARANE;  38;1,315
131;IRIS;  38;1,315
132;LUR;  38;1,315
133;NAIRA;  38;1,315
134;NURIA;  37;1,28
135;TRIANA;  37;1,28
136;AMINA;  35;1,211
137;ELISA;  35;1,211
138;ILARGI;  35;1,211
139;IXONE;  35;1,211
140;AIALA;  34;1,176
