Nº;Nombre;Total;Por mil (‰)
1;JULEN;  45;17,9
2;MARTIN;  43;17,104
3;MATEO;  43;17,104
4;AIMAR;  31;12,331
5;LUCAS;  31;12,331
6;IBAI;  29;11,535
7;LEO;  29;11,535
8;ANDER;  28;11,138
9;DANIEL;  26;10,342
10;OIER;  26;10,342
11;XABIER;  26;10,342
12;JON;  25;9,944
13;HUGO;  24;9,547
14;IKER;  24;9,547
15;ADRIAN;  22;8,751
16;MARCOS;  22;8,751
17;OIHAN;  22;8,751
18;IZAN;  21;8,353
19;PABLO;  21;8,353
20;ALVARO;  20;7,955
21;JAVIER;  20;7,955
22;IZEI;  19;7,558
23;MIKEL;  19;7,558
24;DAVID;  18;7,16
25;ENZO;  18;7,16
26;NICOLAS;  18;7,16
27;UNAX;  18;7,16
28;ALAIN;  17;6,762
29;ALEX;  17;6,762
30;MIGUEL;  17;6,762
31;AIUR;  16;6,364
32;GABRIEL;  16;6,364
33;MARKEL;  16;6,364
34;UNAI;  16;6,364
35;AMIR;  14;5,569
36;ARITZ;  14;5,569
37;GAEL;  14;5,569
38;ADEI;  13;5,171
39;ALEJANDRO;  13;5,171
40;BRUNO;  13;5,171
41;ASIER;  12;4,773
42;ADAM;  11;4,375
43;BEÑAT;  11;4,375
44;DIEGO;  11;4,375
45;HODEI;  11;4,375
46;JUAN;  11;4,375
47;LUCA;  11;4,375
48;MOHAMED;  11;4,375
49;ADUR;  10;3,978
50;ENEKO;  10;3,978
51;ERIK;  10;3,978
52;GUILLERMO;  10;3,978
53;MARCO;  10;3,978
54;MARIO;  10;3,978
55;OLIVER;  10;3,978
56;SAMUEL;  10;3,978
57;AARON;  9;3,58
58;AITOR;  9;3,58
59;ANGEL;  9;3,58
60;ERIC;  9;3,58
61;IMRAN;  9;3,58
62;ION;  9;3,58
63;LIAM;  9;3,58
64;LUKA;  9;3,58
65;LUKEN;  9;3,58
66;MANUEL;  9;3,58
67;NIZAR;  9;3,58
68;ALAI;  8;3,182
69;ALEXANDER;  8;3,182
70;AMETS;  8;3,182
71;FERMIN;  8;3,182
72;IÑIGO;  8;3,182
73;IOAR;  8;3,182
74;JESUS;  8;3,182
75;MATIAS;  8;3,182
76;ANAS;  7;2,784
77;ANER;  7;2,784
78;ARATZ;  7;2,784
79;DARIO;  7;2,784
80;DYLAN;  7;2,784
81;ELOY;  7;2,784
82;GONZALO;  7;2,784
83;IAGO;  7;2,784
84;JAIME;  7;2,784
85;KAI;  7;2,784
86;ODEI;  7;2,784
87;XUBAN;  7;2,784
88;YOUSSEF;  7;2,784
89;ZUHAITZ;  7;2,784
90;AXEL;  6;2,387
91;EDER;  6;2,387
92;HARON;  6;2,387
93;HEGOI;  6;2,387
94;LANDER;  6;2,387
95;MARC;  6;2,387
96;RAYAN;  6;2,387
97;SANTIAGO;  6;2,387
98;TEO;  6;2,387
99;THIAGO;  6;2,387
100;YANIS;  6;2,387
101;YOUNES;  6;2,387
102;ZAKARIA;  6;2,387
103;ADAY;  5;1,989
104;ANTONIO;  5;1,989
105;ARAN;  5;1,989
106;CARLOS;  5;1,989
107;EKAI;  5;1,989
108;EKHI;  5;1,989
109;IBON;  5;1,989
110;INAR;  5;1,989
111;INHAR;  5;1,989
112;ISAAC;  5;1,989
113;IVAN;  5;1,989
114;JOEL;  5;1,989
115;JOSE;  5;1,989
116;MOHAMMED;  5;1,989
117;NOAH;  5;1,989
118;SANCHO;  5;1,989
119;XABAT;  5;1,989
120;YAGO;  5;1,989
121;YERAY;  5;1,989
